Step,UserID,Target,HopCount
1,1,Core,1
1,2,Core,1
1,3,Core,1
1,4,Core,1
1,5,Core,1
1,6,Core,1
1,7,RN,
1,8,Core,1
1,9,Core,1
1,10,Core,1
1,11,Core,1
1,12,RN,
1,13,Core,1
1,14,Core,1
1,15,Core,1
1,16,Core,1
1,17,Core,1
1,18,Core,1
1,19,BS,1
1,20,Core,1
2,1,Core,1
2,2,Core,1
2,3,Core,1
2,4,RN,
2,5,Core,1
2,6,Core,1
2,7,Core,1
2,8,Core,1
2,9,Core,1
2,10,Core,1
2,11,Core,1
2,12,RN,
2,13,Core,1
2,14,RN,
2,15,Core,1
2,16,Core,1
2,17,Core,1
2,18,RN,
2,19,BS,1
2,20,Core,1
3,1,Core,1
3,2,Core,1
3,3,Core,1
3,4,Core,1
3,5,Core,1
3,6,Core,1
3,7,Core,1
3,8,Core,1
3,9,Core,1
3,10,Core,1
3,11,RN,
3,12,Core,1
3,13,Core,1
3,14,Core,1
3,15,Core,1
3,16,Core,1
3,17,Core,1
3,18,Core,1
3,19,BS,1
3,20,Core,1
4,1,Core,1
4,2,Core,1
4,3,Core,1
4,4,RN,
4,5,Core,1
4,6,Core,1
4,7,Core,1
4,8,BS,1
4,9,Core,1
4,10,Core,1
4,11,RN,
4,12,BS,1
4,13,Core,1
4,14,RN,
4,15,RN,
4,16,Core,1
4,17,RN,
4,18,RN,
4,19,BS,1
4,20,Core,1
5,1,Core,1
5,2,Core,1
5,3,Core,1
5,4,Core,1
5,5,Core,1
5,6,Core,1
5,7,Core,1
5,8,Core,1
5,9,RN,
5,10,Core,1
5,11,Core,1
5,12,BS,1
5,13,Core,1
5,14,Core,1
5,15,Core,1
5,16,Core,1
5,17,Core,1
5,18,Core,1
5,19,RN,
5,20,Core,1
6,1,Core,1
6,2,RN,
6,3,Core,1
6,4,RN,
6,5,Core,1
6,6,Core,1
6,7,BS,1
6,8,Core,1
6,9,Core,1
6,10,Core,1
6,11,RN,
6,12,BS,1
6,13,Core,1
6,14,RN,
6,15,Core,1
6,16,Core,1
6,17,RN,
6,18,RN,
6,19,BS,1
6,20,Core,1
7,1,Core,1
7,2,Core,1
7,3,Core,1
7,4,Core,1
7,5,Core,1
7,6,Core,1
7,7,Core,1
7,8,RN,
7,9,RN,
7,10,Core,1
7,11,Core,1
7,12,Core,1
7,13,Core,1
7,14,Core,1
7,15,Core,1
7,16,Core,1
7,17,BS,1
7,18,Core,1
7,19,RN,
7,20,Core,1
8,1,Core,1
8,2,Core,1
8,3,Core,1
8,4,RN,
8,5,Core,1
8,6,Core,1
8,7,RN,
8,8,Core,1
8,9,Core,1
8,10,Core,1
8,11,Core,1
8,12,RN,
8,13,Core,1
8,14,RN,
8,15,RN,
8,16,Core,1
8,17,BS,1
8,18,RN,
8,19,RN,
8,20,Core,1
9,1,Core,1
9,2,Core,1
9,3,Core,1
9,4,RN,
9,5,Core,1
9,6,Core,1
9,7,Core,1
9,8,Core,1
9,9,RN,
9,10,Core,1
9,11,RN,
9,12,RN,
9,13,Core,1
9,14,RN,
9,15,RN,
9,16,Core,1
9,17,RN,
9,18,Core,1
9,19,Disconnected,
9,20,Core,1
10,1,Core,1
10,2,RN,
10,3,RN,
10,4,Core,1
10,5,Core,1
10,6,Core,1
10,7,Core,1
10,8,Core,1
10,9,Core,1
10,10,RN,
10,11,Core,1
10,12,BS,1
10,13,Core,1
10,14,RN,
10,15,Core,1
10,16,Core,1
10,17,Core,1
10,18,Core,1
10,19,BS,1
10,20,Core,1
11,1,Core,1
11,2,Core,1
11,3,Core,1
11,4,Core,1
11,5,Core,1
11,6,Core,1
11,7,Core,1
11,8,RN,
11,9,RN,
11,10,Core,1
11,11,Core,1
11,12,RN,
11,13,Core,1
11,14,Core,1
11,15,RN,
11,16,Core,1
11,17,Core,1
11,18,Core,1
11,19,RN,
11,20,Core,1
12,1,Core,1
12,2,RN,
12,3,Core,1
12,4,Core,1
12,5,Core,1
12,6,Core,1
12,7,Core,1
12,8,BS,1
12,9,RN,
12,10,Core,1
12,11,RN,
12,12,RN,
12,13,Core,1
12,14,RN,
12,15,RN,
12,16,Core,1
12,17,RN,
12,18,Core,1
12,19,RN,
12,20,RN,
13,1,Core,1
13,2,RN,
13,3,Core,1
13,4,Core,1
13,5,Core,1
13,6,Core,1
13,7,Core,1
13,8,Core,1
13,9,Core,1
13,10,Core,1
13,11,Core,1
13,12,Core,1
13,13,Core,1
13,14,Core,1
13,15,Core,1
13,16,Core,1
13,17,Core,1
13,18,Core,1
13,19,RN,
13,20,Core,1
14,1,Core,1
14,2,RN,
14,3,Core,1
14,4,Core,1
14,5,Core,1
14,6,Core,1
14,7,Core,1
14,8,RN,
14,9,Core,1
14,10,Core,1
14,11,Core,1
14,12,BS,1
14,13,Core,1
14,14,Core,1
14,15,Core,1
14,16,Core,1
14,17,Core,1
14,18,Core,1
14,19,BS,1
14,20,Core,1
15,1,Core,1
15,2,Core,1
15,3,Core,1
15,4,RN,
15,5,Core,1
15,6,RN,
15,7,Core,1
15,8,RN,
15,9,Core,1
15,10,Core,1
15,11,RN,
15,12,RN,
15,13,Core,1
15,14,RN,
15,15,BS,1
15,16,Core,1
15,17,Core,1
15,18,RN,
15,19,BS,1
15,20,Core,1
16,1,Core,1
16,2,Core,1
16,3,Core,1
16,4,RN,
16,5,Core,1
16,6,Core,1
16,7,Core,1
16,8,RN,
16,9,Core,1
16,10,Core,1
16,11,RN,
16,12,Core,1
16,13,Core,1
16,14,RN,
16,15,Core,1
16,16,Core,1
16,17,Core,1
16,18,RN,
16,19,RN,
16,20,Core,1
17,1,Core,1
17,2,Core,1
17,3,Core,1
17,4,Core,1
17,5,Core,1
17,6,Core,1
17,7,Core,1
17,8,RN,
17,9,Core,1
17,10,Core,1
17,11,Core,1
17,12,Core,1
17,13,Core,1
17,14,Core,1
17,15,RN,
17,16,Core,1
17,17,Core,1
17,18,Core,1
17,19,RN,
17,20,Core,1
18,1,Core,1
18,2,Core,1
18,3,Core,1
18,4,RN,
18,5,RN,
18,6,RN,
18,7,Core,1
18,8,RN,
18,9,Core,1
18,10,Core,1
18,11,RN,
18,12,RN,
18,13,Core,1
18,14,Disconnected,
18,15,BS,1
18,16,Core,1
18,17,Core,1
18,18,Disconnected,
18,19,Disconnected,
18,20,Core,1
19,1,Core,1
19,2,RN,
19,3,Core,1
19,4,Core,1
19,5,Core,1
19,6,Core,1
19,7,RN,
19,8,RN,
19,9,BS,1
19,10,Core,1
19,11,Core,1
19,12,BS,1
19,13,Core,1
19,14,Core,1
19,15,Core,1
19,16,RN,
19,17,Core,1
19,18,Core,1
19,19,Core,1
19,20,Core,1
20,1,Core,1
20,2,RN,
20,3,Core,1
20,4,Core,1
20,5,Core,1
20,6,Core,1
20,7,RN,
20,8,BS,1
20,9,Core,1
20,10,RN,
20,11,Core,1
20,12,Core,1
20,13,Core,1
20,14,Core,1
20,15,RN,
20,16,Core,1
20,17,Core,1
20,18,Core,1
20,19,BS,1
20,20,RN,
21,1,RN,
21,2,Core,1
21,3,Core,1
21,4,Core,1
21,5,Core,1
21,6,Core,1
21,7,Core,1
21,8,RN,
21,9,Core,1
21,10,Core,1
21,11,Core,1
21,12,Core,1
21,13,Core,1
21,14,Core,1
21,15,RN,
21,16,Core,1
21,17,Core,1
21,18,Core,1
21,19,RN,
21,20,Core,1
22,1,RN,
22,2,RN,
22,3,Core,1
22,4,Core,1
22,5,Core,1
22,6,Core,1
22,7,RN,
22,8,RN,
22,9,Core,1
22,10,Core,1
22,11,Core,1
22,12,Core,1
22,13,Core,1
22,14,BS,1
22,15,Core,1
22,16,RN,
22,17,Core,1
22,18,Core,1
22,19,RN,
22,20,Core,1
23,1,Core,1
23,2,Core,1
23,3,Core,1
23,4,Core,1
23,5,Core,1
23,6,Core,1
23,7,Core,1
23,8,BS,1
23,9,BS,1
23,10,Core,1
23,11,Core,1
23,12,Core,1
23,13,Core,1
23,14,Core,1
23,15,BS,1
23,16,Core,1
23,17,Core,1
23,18,Core,1
23,19,Core,1
23,20,Core,1
24,1,Core,1
24,2,Core,1
24,3,Core,1
24,4,Core,1
24,5,Core,1
24,6,RN,
24,7,Core,1
24,8,BS,1
24,9,Core,1
24,10,RN,
24,11,RN,
24,12,Core,1
24,13,Core,1
24,14,RN,
24,15,RN,
24,16,Core,1
24,17,RN,
24,18,RN,
24,19,Core,1
24,20,RN,
25,1,Core,1
25,2,Core,1
25,3,Core,1
25,4,Core,1
25,5,Core,1
25,6,Core,1
25,7,Core,1
25,8,RN,
25,9,Core,1
25,10,Core,1
25,11,Core,1
25,12,Core,1
25,13,Core,1
25,14,Core,1
25,15,RN,
25,16,Core,1
25,17,Core,1
25,18,Core,1
25,19,BS,1
25,20,Core,1
26,1,Core,1
26,2,Core,1
26,3,Core,1
26,4,Core,1
26,5,RN,
26,6,RN,
26,7,Core,1
26,8,RN,
26,9,BS,1
26,10,Core,1
26,11,RN,
26,12,RN,
26,13,Core,1
26,14,RN,
26,15,Core,1
26,16,Core,1
26,17,Core,1
26,18,Disconnected,
26,19,Disconnected,
26,20,Disconnected,
27,1,Core,1
27,2,Core,1
27,3,Core,1
27,4,Core,1
27,5,Core,1
27,6,Core,1
27,7,RN,
27,8,BS,1
27,9,Core,1
27,10,RN,
27,11,Core,1
27,12,RN,
27,13,Core,1
27,14,Core,1
27,15,RN,
27,16,Core,1
27,17,Core,1
27,18,Core,1
27,19,BS,1
27,20,RN,
28,1,Core,1
28,2,Core,1
28,3,Core,1
28,4,Core,1
28,5,Core,1
28,6,Core,1
28,7,Core,1
28,8,BS,1
28,9,Core,1
28,10,Core,1
28,11,RN,
28,12,Core,1
28,13,Core,1
28,14,Core,1
28,15,RN,
28,16,Core,1
28,17,Core,1
28,18,Core,1
28,19,BS,1
28,20,Core,1
29,1,Core,1
29,2,Core,1
29,3,Core,1
29,4,Core,1
29,5,RN,
29,6,Core,1
29,7,Core,1
29,8,BS,1
29,9,Core,1
29,10,Core,1
29,11,RN,
29,12,Core,1
29,13,Core,1
29,14,RN,
29,15,BS,1
29,16,Core,1
29,17,Core,1
29,18,RN,
29,19,RN,
29,20,Core,1
30,1,Core,1
30,2,RN,
30,3,Core,1
30,4,Core,1
30,5,RN,
30,6,RN,
30,7,Core,1
30,8,RN,
30,9,Core,1
30,10,Core,1
30,11,Core,1
30,12,RN,
30,13,Core,1
30,14,RN,
30,15,Disconnected,
30,16,RN,
30,17,Core,1
30,18,Disconnected,
30,19,Disconnected,
30,20,RN,
