Step,Value
1,8.292181286117984
2,7.375891450736098
3,8.511600672924935
4,6.979686904342375
5,8.761437561971807
6,7.700206571738333
7,9.03823163994091
8,7.8245963392535405
9,5.359597467743217
10,7.626685301856538
11,7.683685654243727
12,6.73064656432244
13,9.091581250510496
14,8.596425181909064
15,7.552671596229127
16,6.975921122544895
17,7.63514799313864
18,7.163975757097775
19,8.609982146938053
20,7.483394727771066
21,8.051954805118607
22,8.274220964304766
23,8.775614164717073
24,7.234127044521019
25,8.009373349587595
26,7.37364522968372
27,8.553303039691649
28,8.538338855302975
29,7.056464116776428
30,9.489029567612022
