Step,Max_Q,Epsilon
0,0.0,0.2985
1,0.00411522633744856,0.2970075
2,0.005555555555555556,0.29552246249999997
3,0.004526748971193416,0.2940448501875
4,0.003880070546737214,0.29257462593656247
5,0.0049382716049382715,0.2911117528068797
6,0.0049382716049382715,0.28965619404284526
7,0.0049382716049382715,0.28820791307263105
8,0.005387205387205387,0.28676687350726787
9,0.005916947250280584,0.2853330391397315
10,0.00557644824311491,0.28390637394403284
11,0.006029700176366843,0.2824868420743127
12,0.006329171075837743,0.2810744078639411
13,0.0062364444444444455,0.2796690358246214
14,0.007084348971193416,0.27827069064549825
15,0.007143344855967078,0.27687933719227076
16,0.007656625925925926,0.2754949405063094
17,0.007795260500000001,0.2741174658037779
18,0.008589393167839507,0.272746878474759
19,0.008851186033988273,0.2713831440823852
20,0.009381911825173823,0.27002622836197326
21,0.008975277941485312,0.2686760972201634
22,0.008750999811677143,0.26733271673406256
23,0.009162691473882876,0.26599605315039226
24,0.008828013690312188,0.2646660728846403
25,0.00907925139987432,0.26334274252021705
26,0.008504458739230392,0.26202602880761594
27,0.008394962258840647,0.26071589866357786
28,0.008456690653902376,0.25941231917026
29,0.008565237842561095,0.2581152575744087
30,0.008186422901797824,0.2568246812865366
31,0.008638464687172942,0.25554055788010394
32,0.008537561331132244,0.2542628550907034
33,0.008409015269482458,0.2529915408152499
34,0.008532048779182634,0.25172658311117363
35,0.008457848714851519,0.25046795019561774
