Step,UserID,Target,HopCount
1,1,Core,1
1,2,Core,1
1,3,BS,1
1,4,Core,1
1,5,Core,1
1,6,BS,1
1,7,RN,
1,8,Core,1
1,9,Core,1
1,10,Core,1
1,11,Core,1
1,12,Core,1
1,13,RN,
1,14,Core,1
1,15,RN,
1,16,RN,
1,17,Core,1
1,18,Core,1
1,19,RN,
1,20,Core,1
2,1,Core,1
2,2,Core,1
2,3,RN,
2,4,Core,1
2,5,Core,1
2,6,RN,
2,7,RN,
2,8,Core,1
2,9,Core,1
2,10,RN,
2,11,Core,1
2,12,Core,1
2,13,BS,1
2,14,Core,1
2,15,BS,1
2,16,RN,
2,17,Core,1
2,18,Core,1
2,19,RN,
2,20,Core,1
3,1,Core,1
3,2,Core,1
3,3,RN,
3,4,Core,1
3,5,Core,1
3,6,RN,
3,7,RN,
3,8,Core,1
3,9,Core,1
3,10,Core,1
3,11,Core,1
3,12,Core,1
3,13,BS,1
3,14,Core,1
3,15,RN,
3,16,BS,1
3,17,Core,1
3,18,Core,1
3,19,BS,1
3,20,Core,1
4,1,Core,1
4,2,Core,1
4,3,BS,1
4,4,Core,1
4,5,RN,
4,6,BS,1
4,7,BS,1
4,8,Core,1
4,9,RN,
4,10,BS,1
4,11,Core,1
4,12,Core,1
4,13,Core,1
4,14,RN,
4,15,BS,1
4,16,BS,1
4,17,Core,1
4,18,Core,1
4,19,BS,1
4,20,RN,
5,1,Core,1
5,2,Core,1
5,3,RN,
5,4,Core,1
5,5,Core,1
5,6,RN,
5,7,RN,
5,8,Core,1
5,9,Core,1
5,10,Core,1
5,11,Core,1
5,12,Core,1
5,13,BS,1
5,14,Core,1
5,15,RN,
5,16,RN,
5,17,Core,1
5,18,Core,1
5,19,RN,
5,20,Core,1
6,1,Core,1
6,2,RN,
6,3,BS,1
6,4,Core,1
6,5,Core,1
6,6,RN,
6,7,BS,1
6,8,Core,1
6,9,Core,1
6,10,Core,1
6,11,RN,
6,12,Core,1
6,13,BS,1
6,14,Core,1
6,15,BS,1
6,16,BS,1
6,17,RN,
6,18,RN,
6,19,BS,1
6,20,Core,1
7,1,Core,1
7,2,Core,1
7,3,RN,
7,4,Core,1
7,5,Core,1
7,6,BS,1
7,7,RN,
7,8,Core,1
7,9,Core,1
7,10,RN,
7,11,Core,1
7,12,Core,1
7,13,RN,
7,14,Core,1
7,15,BS,1
7,16,RN,
7,17,Core,1
7,18,Core,1
7,19,RN,
7,20,Core,1
8,1,Core,1
8,2,Core,1
8,3,RN,
8,4,Core,1
8,5,Core,1
8,6,RN,
8,7,RN,
8,8,Core,1
8,9,Core,1
8,10,RN,
8,11,Core,1
8,12,Core,1
8,13,BS,1
8,14,Core,1
8,15,BS,1
8,16,RN,
8,17,Core,1
8,18,Core,1
8,19,RN,
8,20,RN,
9,1,Core,1
9,2,Core,1
9,3,RN,
9,4,Core,1
9,5,Core,1
9,6,BS,1
9,7,RN,
9,8,Core,1
9,9,Core,1
9,10,RN,
9,11,Core,1
9,12,Core,1
9,13,RN,
9,14,Core,1
9,15,BS,1
9,16,Core,1
9,17,Core,1
9,18,Core,1
9,19,Core,1
9,20,Core,1
10,1,Core,1
10,2,Core,1
10,3,BS,1
10,4,Core,1
10,5,RN,
10,6,RN,
10,7,RN,
10,8,Core,1
10,9,Core,1
10,10,BS,1
10,11,Core,1
10,12,Core,1
10,13,BS,1
10,14,Core,1
10,15,BS,1
10,16,Core,1
10,17,Core,1
10,18,Core,1
10,19,Core,1
10,20,Core,1
11,1,Core,1
11,2,Core,1
11,3,RN,
11,4,Core,1
11,5,Core,1
11,6,RN,
11,7,RN,
11,8,Core,1
11,9,Core,1
11,10,Core,1
11,11,Core,1
11,12,Core,1
11,13,RN,
11,14,RN,
11,15,RN,
11,16,BS,1
11,17,Core,1
11,18,Core,1
11,19,Core,1
11,20,Core,1
12,1,Core,1
12,2,Core,1
12,3,RN,
12,4,Core,1
12,5,RN,
12,6,BS,1
12,7,RN,
12,8,Core,1
12,9,Core,1
12,10,RN,
12,11,Core,1
12,12,Core,1
12,13,BS,1
12,14,Core,1
12,15,RN,
12,16,Core,1
12,17,Core,1
12,18,Core,1
12,19,RN,
12,20,Core,1
13,1,Core,1
13,2,Core,1
13,3,RN,
13,4,Core,1
13,5,Core,1
13,6,RN,
13,7,RN,
13,8,Core,1
13,9,Core,1
13,10,RN,
13,11,Core,1
13,12,Core,1
13,13,RN,
13,14,RN,
13,15,RN,
13,16,RN,
13,17,Core,1
13,18,Core,1
13,19,BS,1
13,20,Core,1
14,1,Core,1
14,2,Core,1
14,3,RN,
14,4,Core,1
14,5,RN,
14,6,BS,1
14,7,RN,
14,8,Core,1
14,9,Core,1
14,10,RN,
14,11,Core,1
14,12,Core,1
14,13,Core,1
14,14,Core,1
14,15,RN,
14,16,Core,1
14,17,Core,1
14,18,Core,1
14,19,RN,
14,20,Core,1
15,1,Core,1
15,2,Core,1
15,3,RN,
15,4,Core,1
15,5,Core,1
15,6,RN,
15,7,Core,1
15,8,Core,1
15,9,Core,1
15,10,RN,
15,11,Core,1
15,12,Core,1
15,13,RN,
15,14,Core,1
15,15,BS,1
15,16,Core,1
15,17,Core,1
15,18,Core,1
15,19,RN,
15,20,Core,1
16,1,RN,
16,2,RN,
16,3,RN,
16,4,Core,1
16,5,Core,1
16,6,RN,
16,7,BS,1
16,8,Core,1
16,9,Core,1
16,10,RN,
16,11,RN,
16,12,Core,1
16,13,BS,1
16,14,Core,1
16,15,BS,1
16,16,Core,1
16,17,Disconnected,
16,18,Core,1
16,19,Core,1
16,20,Disconnected,
17,1,Core,1
17,2,Core,1
17,3,RN,
17,4,Core,1
17,5,Core,1
17,6,RN,
17,7,Core,1
17,8,Core,1
17,9,Core,1
17,10,RN,
17,11,Core,1
17,12,Core,1
17,13,BS,1
17,14,Core,1
17,15,RN,
17,16,Core,1
17,17,Core,1
17,18,Core,1
17,19,RN,
17,20,BS,1
18,1,Core,1
18,2,Core,1
18,3,RN,
18,4,Core,1
18,5,RN,
18,6,BS,1
18,7,RN,
18,8,Core,1
18,9,RN,
18,10,RN,
18,11,Core,1
18,12,Core,1
18,13,BS,1
18,14,Core,1
18,15,RN,
18,16,RN,
18,17,Core,1
18,18,Core,1
18,19,Core,1
18,20,Core,1
19,1,RN,
19,2,RN,
19,3,RN,
19,4,Core,1
19,5,Core,1
19,6,BS,1
19,7,Core,1
19,8,Core,1
19,9,RN,
19,10,RN,
19,11,Core,1
19,12,Core,1
19,13,BS,1
19,14,Core,1
19,15,BS,1
19,16,RN,
19,17,RN,
19,18,Core,1
19,19,RN,
19,20,RN,
20,1,Core,1
20,2,Core,1
20,3,RN,
20,4,Core,1
20,5,Core,1
20,6,RN,
20,7,Core,1
20,8,Core,1
20,9,Core,1
20,10,BS,1
20,11,Core,1
20,12,Core,1
20,13,RN,
20,14,Core,1
20,15,RN,
20,16,Core,1
20,17,Core,1
20,18,Core,1
20,19,RN,
20,20,Core,1
21,1,RN,
21,2,RN,
21,3,BS,1
21,4,Core,1
21,5,RN,
21,6,BS,1
21,7,Core,1
21,8,Core,1
21,9,Core,1
21,10,Core,1
21,11,Core,1
21,12,RN,
21,13,BS,1
21,14,Core,1
21,15,BS,1
21,16,RN,
21,17,RN,
21,18,RN,
21,19,RN,
21,20,Disconnected,
22,1,Core,1
22,2,Core,1
22,3,RN,
22,4,Core,1
22,5,Core,1
22,6,RN,
22,7,Core,1
22,8,Core,1
22,9,Core,1
22,10,Core,1
22,11,Core,1
22,12,Core,1
22,13,RN,
22,14,Core,1
22,15,BS,1
22,16,Core,1
22,17,Core,1
22,18,Core,1
22,19,RN,
22,20,Core,1
23,1,RN,
23,2,RN,
23,3,BS,1
23,4,Core,1
23,5,RN,
23,6,BS,1
23,7,RN,
23,8,Core,1
23,9,RN,
23,10,BS,1
23,11,Core,1
23,12,RN,
23,13,BS,1
23,14,RN,
23,15,BS,1
23,16,RN,
23,17,RN,
23,18,Disconnected,
23,19,RN,
23,20,Disconnected,
24,1,RN,
24,2,Core,1
24,3,BS,1
24,4,Core,1
24,5,Core,1
24,6,BS,1
24,7,RN,
24,8,Core,1
24,9,Core,1
24,10,RN,
24,11,Core,1
24,12,Core,1
24,13,BS,1
24,14,Core,1
24,15,BS,1
24,16,BS,1
24,17,Core,1
24,18,Core,1
24,19,Core,1
24,20,RN,
25,1,RN,
25,2,Core,1
25,3,RN,
25,4,Core,1
25,5,Core,1
25,6,BS,1
25,7,BS,1
25,8,Core,1
25,9,Core,1
25,10,RN,
25,11,RN,
25,12,RN,
25,13,RN,
25,14,Core,1
25,15,RN,
25,16,Core,1
25,17,RN,
25,18,RN,
25,19,RN,
25,20,Core,1
26,1,Core,1
26,2,Core,1
26,3,RN,
26,4,Core,1
26,5,Core,1
26,6,RN,
26,7,RN,
26,8,Core,1
26,9,Core,1
26,10,Core,1
26,11,Core,1
26,12,Core,1
26,13,RN,
26,14,Core,1
26,15,BS,1
26,16,Core,1
26,17,Core,1
26,18,Core,1
26,19,Core,1
26,20,Core,1
27,1,RN,
27,2,Core,1
27,3,Core,1
27,4,RN,
27,5,RN,
27,6,BS,1
27,7,BS,1
27,8,Core,1
27,9,Core,1
27,10,Core,1
27,11,RN,
27,12,Core,1
27,13,BS,1
27,14,RN,
27,15,BS,1
27,16,RN,
27,17,Core,1
27,18,RN,
27,19,RN,
27,20,RN,
28,1,Core,1
28,2,Core,1
28,3,RN,
28,4,Core,1
28,5,Core,1
28,6,RN,
28,7,RN,
28,8,Core,1
28,9,Core,1
28,10,RN,
28,11,Core,1
28,12,Core,1
28,13,RN,
28,14,Core,1
28,15,Disconnected,
28,16,RN,
28,17,Core,1
28,18,Core,1
28,19,Disconnected,
28,20,Core,1
29,1,RN,
29,2,RN,
29,3,RN,
29,4,Core,1
29,5,Core,1
29,6,BS,1
29,7,RN,
29,8,RN,
29,9,Core,1
29,10,Core,1
29,11,RN,
29,12,Disconnected,
29,13,BS,1
29,14,Core,1
29,15,BS,1
29,16,Core,1
29,17,Disconnected,
29,18,Disconnected,
29,19,BS,1
29,20,Core,1
30,1,Core,1
30,2,Core,1
30,3,RN,
30,4,Core,1
30,5,RN,
30,6,RN,
30,7,Core,1
30,8,Core,1
30,9,RN,
30,10,RN,
30,11,Core,1
30,12,Core,1
30,13,RN,
30,14,RN,
30,15,RN,
30,16,RN,
30,17,Core,1
30,18,Core,1
30,19,BS,1
30,20,Core,1
