Step,Value
1,6.409852364361501
2,7.518819978713486
3,7.560483725309706
4,8.206051766971829
5,7.794166958013679
6,7.252244932608987
7,6.923388759694475
8,6.783348583276199
9,8.531181910341784
10,9.56111582216398
11,10.024421386030804
12,7.612409845308631
13,7.599581902020719
14,8.45708396937307
15,8.694710842462806
16,8.017324945758652
17,9.63285943804762
18,8.170729067175037
19,6.443357467165859
20,8.657999501883493
21,6.533283818455391
22,8.225659732211117
23,7.151938771840158
24,7.335451863565453
25,7.804775176217218
26,9.165102029636602
27,9.427819905145576
28,7.921332642973151
29,7.715271436771076
30,8.732183631646881
