Step,Value
1,13.670731102939918
2,14.487542541400487
3,15.951314818673865
4,22.422706745122852
5,19.80179565370553
6,19.80179565370553
7,16.986923074987875
8,13.119112436102952
9,15.103347678945589
10,21.16863507907657
11,30.046260628866577
12,12.823589374447563
13,17.333333333333332
14,20.212757247727378
15,18.681541692269406
16,18.076995817274998
17,22.47220505424423
18,14.70071804746663
19,16.82920741515245
20,16.110727964792762
21,14.62114146630754
22,14.643921757659198
23,16.71991493864594
24,15.132745950421556
25,26.37338725980331
26,19.677962857527255
27,22.47220505424423
28,16.418147141366337
29,15.336956093769787
30,16.815997674172586
