Step,Max_Q,Epsilon
0,0.0,0.2985
1,0.0037037037037037043,0.2970075
2,0.007370370370370372,0.29552246249999997
3,0.005736625514403293,0.2940448501875
4,0.008316296296296297,0.29257462593656247
5,0.007471790123456791,0.2911117528068797
6,0.010641111111111112,0.28965619404284526
7,0.009500543209876543,0.28820791307263105
8,0.010441522633744857,0.28676687350726787
9,0.012063045267489714,0.2853330391397315
10,0.010692486772486774,0.28390637394403284
11,0.011747160493827163,0.2824868420743127
12,0.010896049382716051,0.2810744078639411
13,0.012673240740740742,0.2796690358246214
14,0.012088148148148148,0.27827069064549825
15,0.012354266117969822,0.27687933719227076
16,0.012617722908093279,0.2754949405063094
17,0.01259051851851852,0.2741174658037779
18,0.012343793490460159,0.272746878474759
19,0.012138189300411524,0.2713831440823852
20,0.011584349477682814,0.27002622836197326
21,0.012298138651471986,0.2686760972201634
22,0.01170188712522046,0.26733271673406256
23,0.011744806584362142,0.26599605315039226
24,0.010944037763253452,0.2646660728846403
25,0.011152222222222225,0.26334274252021705
26,0.011458120713305903,0.26202602880761594
27,0.011374879792072778,0.26071589866357786
28,0.01216860298895387,0.25941231917026
29,0.011560172839506177,0.2581152575744087
