Step,UserID,Target,HopCount
1,1,BS,1
1,2,BS,1
1,3,BS,1
1,4,Core,1
1,5,BS,1
1,6,BS,1
1,7,BS,1
1,8,BS,1
1,9,Core,1
1,10,BS,1
2,1,Core,1
2,2,Core,1
2,3,BS,1
2,4,Core,1
2,5,BS,1
2,6,BS,1
2,7,BS,1
2,8,BS,1
2,9,BS,1
2,10,BS,1
3,1,Core,1
3,2,Core,1
3,3,BS,1
3,4,Core,1
3,5,BS,1
3,6,BS,1
3,7,BS,1
3,8,BS,1
3,9,Core,1
3,10,BS,1
4,1,Core,1
4,2,Core,1
4,3,BS,1
4,4,Core,1
4,5,BS,1
4,6,BS,1
4,7,BS,1
4,8,BS,1
4,9,BS,1
4,10,BS,1
5,1,Core,1
5,2,Core,1
5,3,BS,1
5,4,Core,1
5,5,BS,1
5,6,BS,1
5,7,BS,1
5,8,Core,1
5,9,Core,1
5,10,BS,1
6,1,Core,1
6,2,Core,1
6,3,BS,1
6,4,Core,1
6,5,Core,1
6,6,BS,1
6,7,BS,1
6,8,Core,1
6,9,Core,1
6,10,BS,1
7,1,BS,1
7,2,Core,1
7,3,BS,1
7,4,Core,1
7,5,BS,1
7,6,BS,1
7,7,BS,1
7,8,BS,1
7,9,Core,1
7,10,BS,1
8,1,Core,1
8,2,BS,1
8,3,BS,1
8,4,Core,1
8,5,BS,1
8,6,BS,1
8,7,BS,1
8,8,BS,1
8,9,Core,1
8,10,BS,1
9,1,BS,1
9,2,Core,1
9,3,BS,1
9,4,Core,1
9,5,Core,1
9,6,BS,1
9,7,BS,1
9,8,Core,1
9,9,Core,1
9,10,BS,1
10,1,Core,1
10,2,BS,1
10,3,BS,1
10,4,Core,1
10,5,Core,1
10,6,BS,1
10,7,BS,1
10,8,BS,1
10,9,Core,1
10,10,BS,1
11,1,Core,1
11,2,Core,1
11,3,BS,1
11,4,Core,1
11,5,BS,1
11,6,BS,1
11,7,BS,1
11,8,BS,1
11,9,Core,1
11,10,BS,1
12,1,Core,1
12,2,Core,1
12,3,BS,1
12,4,Core,1
12,5,BS,1
12,6,BS,1
12,7,BS,1
12,8,BS,1
12,9,Core,1
12,10,Core,1
13,1,Core,1
13,2,BS,1
13,3,BS,1
13,4,Core,1
13,5,Core,1
13,6,BS,1
13,7,BS,1
13,8,BS,1
13,9,Core,1
13,10,BS,1
14,1,BS,1
14,2,BS,1
14,3,BS,1
14,4,Core,1
14,5,Core,1
14,6,BS,1
14,7,BS,1
14,8,BS,1
14,9,Core,1
14,10,Core,1
15,1,BS,1
15,2,BS,1
15,3,BS,1
15,4,Core,1
15,5,Core,1
15,6,BS,1
15,7,BS,1
15,8,BS,1
15,9,Core,1
15,10,BS,1
16,1,Core,1
16,2,Core,1
16,3,BS,1
16,4,Core,1
16,5,Core,1
16,6,BS,1
16,7,BS,1
16,8,BS,1
16,9,Core,1
16,10,BS,1
17,1,Core,1
17,2,BS,1
17,3,BS,1
17,4,Core,1
17,5,BS,1
17,6,BS,1
17,7,BS,1
17,8,Core,1
17,9,Core,1
17,10,BS,1
18,1,BS,1
18,2,Core,1
18,3,BS,1
18,4,Core,1
18,5,BS,1
18,6,BS,1
18,7,BS,1
18,8,BS,1
18,9,Core,1
18,10,BS,1
19,1,Core,1
19,2,Core,1
19,3,BS,1
19,4,Core,1
19,5,BS,1
19,6,BS,1
19,7,BS,1
19,8,BS,1
19,9,Core,1
19,10,BS,1
20,1,Core,1
20,2,Core,1
20,3,BS,1
20,4,Core,1
20,5,BS,1
20,6,BS,1
20,7,BS,1
20,8,BS,1
20,9,Core,1
20,10,BS,1
21,1,Core,1
21,2,Core,1
21,3,BS,1
21,4,Core,1
21,5,Core,1
21,6,BS,1
21,7,BS,1
21,8,BS,1
21,9,Core,1
21,10,Core,1
22,1,BS,1
22,2,BS,1
22,3,BS,1
22,4,Core,1
22,5,BS,1
22,6,BS,1
22,7,BS,1
22,8,BS,1
22,9,Core,1
22,10,BS,1
23,1,Core,1
23,2,BS,1
23,3,BS,1
23,4,Core,1
23,5,Core,1
23,6,BS,1
23,7,BS,1
23,8,Core,1
23,9,Core,1
23,10,Core,1
24,1,Core,1
24,2,BS,1
24,3,Core,1
24,4,Core,1
24,5,BS,1
24,6,BS,1
24,7,BS,1
24,8,BS,1
24,9,Core,1
24,10,BS,1
25,1,Core,1
25,2,Core,1
25,3,BS,1
25,4,Core,1
25,5,Core,1
25,6,BS,1
25,7,BS,1
25,8,BS,1
25,9,Core,1
25,10,BS,1
26,1,Core,1
26,2,Core,1
26,3,BS,1
26,4,Core,1
26,5,Core,1
26,6,BS,1
26,7,BS,1
26,8,BS,1
26,9,Core,1
26,10,Core,1
27,1,Core,1
27,2,Core,1
27,3,BS,1
27,4,Core,1
27,5,BS,1
27,6,BS,1
27,7,BS,1
27,8,BS,1
27,9,Core,1
27,10,BS,1
28,1,BS,1
28,2,Core,1
28,3,BS,1
28,4,Core,1
28,5,BS,1
28,6,BS,1
28,7,BS,1
28,8,BS,1
28,9,Core,1
28,10,Core,1
29,1,Core,1
29,2,Core,1
29,3,BS,1
29,4,Core,1
29,5,Core,1
29,6,BS,1
29,7,BS,1
29,8,BS,1
29,9,Core,1
29,10,BS,1
30,1,Core,1
30,2,BS,1
30,3,BS,1
30,4,Core,1
30,5,BS,1
30,6,BS,1
30,7,BS,1
30,8,BS,1
30,9,Core,1
30,10,Core,1
