Step,Value
1,15.141859956090556
2,14.93721373587675
3,13.72911419505989
4,14.56483091732191
5,13.215028836964885
6,13.835631314140377
7,12.513721197282582
8,13.127905138344664
9,13.209592101569479
10,13.04690275866668
11,11.50324241260039
12,12.172124678217541
13,12.824565619979472
14,13.131743530784561
15,12.611849018939148
16,11.65045346952039
17,12.32290498968796
18,11.34564748950244
19,10.602624303236647
20,10.583506970666814
21,12.016170986947248
22,11.985596659531444
23,13.629845093293024
24,13.7191346414262
25,12.274595773460916
26,12.301359460499594
27,11.990587802536542
28,12.175891558870516
29,12.485390407360654
30,12.074211669147358
