Step,Value
1,27.33536577809454
2,27.840817357094803
3,23.72527953236566
4,28.168145917763994
5,25.84139659108574
6,27.016455890602842
7,22.360679774997894
8,24.078575077810935
9,27.333333333333332
10,26.305892875931814
11,23.0386149275033
12,21.499353995462798
13,26.113002295578514
14,25.888650451930133
15,24.666666666666668
16,23.213980461973534
17,24.01157128460267
18,24.449494427856333
19,19.333333333333332
20,18.714225130157597
21,24.515301344262525
22,21.840329667841555
23,25.888650451930133
24,27.041120949809425
25,24.388066298453793
26,23.48521993841138
27,20.06932429798716
28,20.572365498945963
29,20.431457227629274
30,21.044925490219462
