step,entity,id,pos_x,pos_y,load,demand,latency,disconnections
1,BS,1,10,10,10,,,
1,BS,2,80,80,6,,,
1,RN,1,30,30,2,,,
1,RN,2,60,60,3,,,
1,UD,1,14,75,,2,95.51963149007642,0
1,UD,2,64,3,,3,117.96715644619057,0
1,UD,3,97,65,,4,154.39073806417275,0
1,UD,4,3,87,,3,126.14277624977183,0
1,UD,5,74,34,,4,102.52804494381036,0
2,BS,1,10,10,9,,,
2,BS,2,80,80,1,,,
2,RN,1,30,30,1,,,
2,RN,2,60,60,1,,,
2,UD,1,14,74,,3,96.18731725128839,0
2,UD,2,65,2,,4,83.36815938954152,0
2,UD,3,97,64,,1,74.43117626371358,0
2,UD,4,2,88,,1,117.61377470347595,0
2,UD,5,73,33,,1,86.20904824900923,0
3,BS,1,10,10,14,,,
3,BS,2,80,80,3,,,
3,RN,1,30,30,3,,,
3,RN,2,60,60,0,,,
3,UD,1,15,75,,3,94.86832980505137,0
3,UD,2,65,3,,3,83.16549765377468,0
3,UD,3,96,63,,4,151.52970005909734,0
3,UD,4,3,87,,3,115.97629068046624,0
3,UD,5,72,32,,4,98.68130522039115,0
4,BS,1,10,10,13,,,
4,BS,2,80,80,10,,,
4,RN,1,30,30,9,,,
4,RN,2,60,60,10,,,
4,UD,1,14,74,,4,93.637599285757,0
4,UD,2,65,2,,5,116.43023662262307,0
4,UD,3,97,64,,5,74.43117626371358,0
4,UD,4,3,87,,4,115.97629068046624,0
4,UD,5,71,31,,5,82.02438661763951,0
5,BS,1,10,10,18,,,
5,BS,2,80,80,4,,,
5,RN,1,30,30,3,,,
5,RN,2,60,60,0,,,
5,UD,1,15,75,,3,94.86832980505137,0
5,UD,2,66,2,,5,84.8528137423857,0
5,UD,3,97,64,,4,35.01785258978626,0
5,UD,4,4,86,,5,114.35471131527551,0
5,UD,5,70,32,,5,95.85927185202274,0
6,BS,1,10,10,6,,,
6,BS,2,80,80,5,,,
6,RN,1,30,30,3,,,
6,RN,2,60,60,5,,,
6,UD,1,15,74,,2,92.97311439335567,0
6,UD,2,65,3,,5,114.43775600735974,0
6,UD,3,98,65,,2,155.66068867893398,0
6,UD,4,3,86,,1,124.33824833895642,0
6,UD,5,71,33,,1,97.78803607803972,0
7,BS,1,10,10,18,,,
7,BS,2,80,80,0,,,
7,RN,1,30,30,13,,,
7,RN,2,60,60,0,,,
7,UD,1,16,73,,5,90.44335243676011,0
7,UD,2,65,4,,4,87.20091742636656,0
7,UD,3,97,64,,4,150.2664300500947,0
7,UD,4,3,85,,1,112.98893751159889,0
7,UD,5,70,33,,4,96.38594295850406,0
8,BS,1,10,10,7,,,
8,BS,2,80,80,6,,,
8,RN,1,30,30,4,,,
8,RN,2,60,60,5,,,
8,UD,1,17,74,,4,91.76055797563569,0
8,UD,2,64,5,,2,110.2905254316979,0
8,UD,3,98,64,,3,154.8709139896837,0
8,UD,4,2,85,,3,126.31706139710502,0
8,UD,5,71,33,,1,71.78091668403239,0
9,BS,1,10,10,5,,,
9,BS,2,80,80,3,,,
9,RN,1,30,30,0,,,
9,RN,2,60,60,3,,,
9,UD,1,18,73,,1,95.25885785584457,0
9,UD,2,65,6,,1,82.71789407377342,0
9,UD,3,99,63,,2,155.37856995094273,0
9,UD,4,3,84,,3,123.69316876852982,0
9,UD,5,71,33,,1,97.78803607803972,0
10,BS,1,10,10,17,,,
10,BS,2,80,80,0,,,
