scenario,strategy,app,effect,mean,ci95,n
urban_light,no_cr,Global,admission_effect,0.0,0.0,20
urban_light,no_cr,Global,allocation_effect,-0.0184,0.0059,20
urban_light,no_cr,Global,interaction_effect,0.0,0.0,20
urban_light,no_cr,AR/VR,admission_effect,0.0,0.0,20
urban_light,no_cr,AR/VR,allocation_effect,0.0,0.0,20
urban_light,no_cr,AR/VR,interaction_effect,0.0,0.0,20
urban_light,no_cr,Streaming,admission_effect,0.0,0.0,20
urban_light,no_cr,Streaming,allocation_effect,-0.0,0.0001,20
urban_light,no_cr,Streaming,interaction_effect,0.0,0.0,20
urban_light,no_cr,Best-effort,admission_effect,0.0,0.0,20
urban_light,no_cr,Best-effort,allocation_effect,-0.0695,0.025,20
urban_light,no_cr,Best-effort,interaction_effect,0.0,0.0,20
urban_light,random,Global,admission_effect,-0.0112,0.0044,20
urban_light,random,Global,allocation_effect,0.0262,0.0088,20
urban_light,random,Global,interaction_effect,0.0077,0.0026,20
urban_light,random,AR/VR,admission_effect,0.0457,0.0115,20
urban_light,random,AR/VR,allocation_effect,0.1604,0.0214,20
urban_light,random,AR/VR,interaction_effect,0.0308,0.01,20
urban_light,random,Streaming,admission_effect,-0.0512,0.0167,20
urban_light,random,Streaming,allocation_effect,0.0132,0.0071,20
urban_light,random,Streaming,interaction_effect,0.0008,0.003,20
urban_light,random,Best-effort,admission_effect,0.0,0.0,20
urban_light,random,Best-effort,allocation_effect,-0.0505,0.0157,20
urban_light,random,Best-effort,interaction_effect,0.0,0.0,20
urban_light,static,Global,admission_effect,0.0005,0.001,20
urban_light,static,Global,allocation_effect,-0.0171,0.007,20
urban_light,static,Global,interaction_effect,0.0001,0.0002,20
urban_light,static,AR/VR,admission_effect,0.0143,0.0048,20
urban_light,static,AR/VR,allocation_effect,0.0173,0.011,20
urban_light,static,AR/VR,interaction_effect,0.0002,0.0011,20
urban_light,static,Streaming,admission_effect,-0.0073,0.0033,20
urban_light,static,Streaming,allocation_effect,-0.0031,0.0082,20
urban_light,static,Streaming,interaction_effect,0.0001,0.0006,20
urban_light,static,Best-effort,admission_effect,0.0,0.0,20
urban_light,static,Best-effort,allocation_effect,-0.0695,0.025,20
urban_light,static,Best-effort,interaction_effect,0.0,0.0,20
urban_light,exhaustive_greedy,Global,admission_effect,-0.0186,0.0072,20
urban_light,exhaustive_greedy,Global,allocation_effect,0.0215,0.0119,20
urban_light,exhaustive_greedy,Global,interaction_effect,0.0129,0.0037,20
urban_light,exhaustive_greedy,AR/VR,admission_effect,0.0558,0.014,20
urban_light,exhaustive_greedy,AR/VR,allocation_effect,0.1717,0.0259,20
urban_light,exhaustive_greedy,AR/VR,interaction_effect,0.0477,0.014,20
urban_light,exhaustive_greedy,Streaming,admission_effect,-0.0726,0.0254,20
urban_light,exhaustive_greedy,Streaming,allocation_effect,0.0046,0.0069,20
urban_light,exhaustive_greedy,Streaming,interaction_effect,0.0027,0.0025,20
urban_light,exhaustive_greedy,Best-effort,admission_effect,0.0,0.0,20
urban_light,exhaustive_greedy,Best-effort,allocation_effect,-0.0695,0.025,20
urban_light,exhaustive_greedy,Best-effort,interaction_effect,0.0,0.0,20
urban_light,trained,Global,admission_effect,-0.0075,0.0091,20
urban_light,trained,Global,allocation_effect,0.0306,0.01,20
urban_light,trained,Global,interaction_effect,-0.0097,0.0109,20
urban_light,trained,AR/VR,admission_effect,0.0494,0.0141,20
urban_light,trained,AR/VR,allocation_effect,0.1778,0.028,20
urban_light,trained,AR/VR,interaction_effect,0.0542,0.0188,20
urban_light,trained,Streaming,admission_effect,-0.0502,0.0298,20
urban_light,trained,Streaming,allocation_effect,0.0171,0.0245,20
urban_light,trained,Streaming,interaction_effect,-0.0466,0.0179,20
urban_light,trained,Best-effort,admission_effect,0.0,0.0,20
urban_light,trained,Best-effort,allocation_effect,-0.0695,0.025,20
urban_light,trained,Best-effort,interaction_effect,0.0,0.0,20
urban_medium,no_cr,Global,admission_effect,0.0,0.0,20
urban_medium,no_cr,Global,allocation_effect,-0.012,0.0038,20
urban_medium,no_cr,Global,interaction_effect,0.0,0.0,20
urban_medium,no_cr,AR/VR,admission_effect,0.0,0.0,20
urban_medium,no_cr,AR/VR,allocation_effect,0.0,0.0,20
urban_medium,no_cr,AR/VR,interaction_effect,0.0,0.0,20
urban_medium,no_cr,Streaming,admission_effect,0.0,0.0,20
urban_medium,no_cr,Streaming,allocation_effect,-0.0,0.0001,20
urban_medium,no_cr,Streaming,interaction_effect,0.0,0.0,20
urban_medium,no_cr,Best-effort,admission_effect,0.0,0.0,20
urban_medium,no_cr,Best-effort,allocation_effect,-0.0644,0.0202,20
urban_medium,no_cr,Best-effort,interaction_effect,0.0,0.0,20
urban_medium,random,Global,admission_effect,-0.0303,0.006,20
urban_medium,random,Global,allocation_effect,0.0196,0.0102,20
urban_medium,random,Global,interaction_effect,0.017,0.004,20
urban_medium,random,AR/VR,admission_effect,0.0573,0.008,20
urban_medium,random,AR/VR,allocation_effect,0.1042,0.0203,20
urban_medium,random,AR/VR,interaction_effect,0.031,0.008,20
urban_medium,random,Streaming,admission_effect,-0.1593,0.0299,20
urban_medium,random,Streaming,allocation_effect,-0.0248,0.0047,20
urban_medium,random,Streaming,interaction_effect,0.0119,0.0051,20
urban_medium,random,Best-effort,admission_effect,0.0,0.0,20
urban_medium,random,Best-effort,allocation_effect,-0.0705,0.0272,20
urban_medium,random,Best-effort,interaction_effect,0.0,0.0,20
urban_medium,static,Global,admission_effect,-0.0148,0.0053,20
urban_medium,static,Global,allocation_effect,-0.0199,0.0062,20
urban_medium,static,Global,interaction_effect,0.0049,0.0021,20
urban_medium,static,AR/VR,admission_effect,0.047,0.0099,20
urban_medium,static,AR/VR,allocation_effect,0.0062,0.0074,20
urban_medium,static,AR/VR,interaction_effect,-0.0025,0.0017,20
urban_medium,static,Streaming,admission_effect,-0.1041,0.0285,20
urban_medium,static,Streaming,allocation_effect,-0.0312,0.0119,20
urban_medium,static,Streaming,interaction_effect,0.0173,0.0079,20
urban_medium,static,Best-effort,admission_effect,0.0,0.0,20
