scenario,strategy,app,admission_effect_mean,admission_effect_ci95,admission_zero_ci,allocation_effect_mean,allocation_effect_ci95,allocation_zero_ci,interaction_effect_mean,interaction_effect_ci95,interaction_zero_ci,interaction_exclusion_category_MY_INTERPRETATION,n_seeds
urban_dense,exhaustive_greedy,AR/VR,0.0969,0.0055,False,0.0085,0.0041,False,0.0073,0.0059,False,testable,20
urban_dense,exhaustive_greedy,Best-effort,0.0006,0.0053,False,-0.0772,0.0322,False,0.011,0.0097,False,testable,20
urban_dense,exhaustive_greedy,Global,-0.0528,0.006,False,-0.008,0.0033,False,0.0101,0.0046,False,testable,20
urban_dense,exhaustive_greedy,Streaming,-0.2668,0.0273,False,-0.0123,0.0055,False,0.0142,0.0101,False,testable,20
urban_dense,no_cr,AR/VR,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,structural (no CR present -> admission_policy provably inert),20
urban_dense,no_cr,Best-effort,0.0006,0.0053,False,-0.0772,0.0322,False,0.011,0.0097,False,testable,20
urban_dense,no_cr,Global,0.0,0.0004,False,-0.0074,0.0026,False,0.0009,0.0007,False,testable,20
urban_dense,no_cr,Streaming,0.0,0.0001,False,0.0,0.0001,False,-0.0,0.0001,False,testable,20
urban_dense,random,AR/VR,0.0649,0.0056,False,0.0242,0.0041,False,0.0082,0.008,False,testable,20
urban_dense,random,Best-effort,-0.0001,0.0047,False,-0.0566,0.0197,False,0.0008,0.008,False,testable,20
urban_dense,random,Global,-0.0337,0.0056,False,0.0038,0.0028,False,0.0079,0.0066,False,testable,20
urban_dense,random,Streaming,-0.1731,0.0195,False,-0.0068,0.0048,False,0.0105,0.0081,False,testable,20
urban_dense,static,AR/VR,0.0979,0.0079,False,0.0082,0.0058,False,0.0029,0.009,False,testable,20
urban_dense,static,Best-effort,0.0006,0.0053,False,-0.0772,0.0322,False,0.011,0.0097,False,testable,20
urban_dense,static,Global,-0.0478,0.0054,False,-0.0102,0.0044,False,0.0097,0.0062,False,testable,20
urban_dense,static,Streaming,-0.2566,0.0278,False,-0.0181,0.0055,False,0.0194,0.0105,False,testable,20
urban_dense,trained,AR/VR,0.0907,0.0051,False,0.0089,0.0073,False,-0.0197,0.0134,False,testable,20
urban_dense,trained,Best-effort,0.0006,0.0053,False,-0.0772,0.0322,False,0.011,0.0097,False,testable,20
urban_dense,trained,Global,-0.018,0.0058,False,-0.0002,0.0049,False,-0.0039,0.0082,False,testable,20
urban_dense,trained,Streaming,-0.167,0.0182,False,0.0052,0.0077,False,0.0116,0.0198,False,testable,20
urban_light,exhaustive_greedy,AR/VR,0.0558,0.014,False,0.1717,0.0259,False,0.0477,0.014,False,testable,20
urban_light,exhaustive_greedy,Best-effort,0.0,0.0,True,-0.0695,0.025,False,0.0,0.0,True,empirical (this scenario/strategy pair happened to show zero seed variance),20
urban_light,exhaustive_greedy,Global,-0.0186,0.0072,False,0.0215,0.0119,False,0.0129,0.0037,False,testable,20
urban_light,exhaustive_greedy,Streaming,-0.0726,0.0254,False,0.0046,0.0069,False,0.0027,0.0025,False,testable,20
urban_light,no_cr,AR/VR,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,structural (no CR present -> admission_policy provably inert),20
urban_light,no_cr,Best-effort,0.0,0.0,True,-0.0695,0.025,False,0.0,0.0,True,structural (no CR present -> admission_policy provably inert),20
urban_light,no_cr,Global,0.0,0.0,True,-0.0184,0.0059,False,0.0,0.0,True,structural (no CR present -> admission_policy provably inert),20
urban_light,no_cr,Streaming,0.0,0.0,True,-0.0,0.0001,False,0.0,0.0,True,structural (no CR present -> admission_policy provably inert),20
urban_light,random,AR/VR,0.0457,0.0115,False,0.1604,0.0214,False,0.0308,0.01,False,testable,20
