Step,SatisfactionRate
51,0.2333
52,0.3333
53,0.3
54,0.3
55,0.2333
56,0.4
57,0.3667
58,0.2333
59,0.2667
60,0.2333
61,0.3
62,0.2
63,0.3
64,0.3
65,0.2333
66,0.2333
67,0.1667
68,0.2333
69,0.2667
70,0.2667
71,0.2333
72,0.3333
73,0.2333
74,0.2333
75,0.3
76,0.2667
77,0.3
78,0.3
79,0.3
80,0.3333
81,0.3
82,0.3333
83,0.3333
84,0.2
85,0.2333
86,0.3
87,0.2333
88,0.2667
89,0.2333
90,0.3
91,0.2667
92,0.2667
93,0.2667
94,0.1667
95,0.3667
96,0.2
97,0.2
98,0.3667
99,0.1333
100,0.2
101,0.2667
102,0.1333
103,0.2667
104,0.2
105,0.1
106,0.1333
107,0.1333
108,0.2333
109,0.2
110,0.2
111,0.3
112,0.1667
113,0.2333
114,0.2333
115,0.2
116,0.1667
117,0.3
118,0.1333
119,0.2667
120,0.2
121,0.2
122,0.2667
123,0.2333
124,0.2
125,0.2667
126,0.2333
127,0.2
128,0.3333
129,0.3667
130,0.2667
131,0.2333
132,0.1667
133,0.2333
134,0.2667
135,0.2
136,0.2
137,0.2667
138,0.1667
139,0.3
140,0.1333
141,0.2333
142,0.1667
143,0.2333
144,0.2333
145,0.1667
146,0.2333
147,0.2
148,0.2667
149,0.3333
150,0.2333
151,0.2333
152,0.2333
153,0.3
154,0.3667
155,0.2667
156,0.3667
157,0.3
158,0.2
159,0.3
160,0.2667
161,0.2333
162,0.2333
163,0.2
164,0.2667
165,0.3667
166,0.3
167,0.2667
168,0.3
169,0.2
170,0.2333
171,0.2667
172,0.2333
173,0.2333
174,0.2667
175,0.2
176,0.2
177,0.2667
178,0.2333
179,0.2667
180,0.2667
181,0.2333
182,0.3667
183,0.2
184,0.0667
185,0.2
186,0.2667
187,0.2
188,0.2667
189,0.2
190,0.2
191,0.3
192,0.2667
193,0.3
194,0.3
195,0.2667
196,0.2333
197,0.3333
198,0.1667
199,0.3
200,0.3
201,0.2667
202,0.2
203,0.2333
204,0.2667
205,0.2667
206,0.3333
207,0.2333
208,0.2333
209,0.2
210,0.2667
211,0.2667
212,0.2333
213,0.2667
214,0.1667
215,0.2667
216,0.3333
217,0.2
218,0.2667
219,0.2667
220,0.2667
221,0.3
222,0.2667
223,0.2333
224,0.2333
225,0.2
226,0.2667
227,0.2333
228,0.2667
229,0.1667
230,0.1333
231,0.2333
232,0.1667
233,0.3
234,0.3
235,0.2333
236,0.0667
237,0.2333
238,0.2667
239,0.2
240,0.2667
241,0.2
242,0.2
243,0.1667
244,0.2667
245,0.2333
246,0.2333
247,0.3
248,0.3
249,0.1667
250,0.1667
