Step,SatisfactionRate
51,0.5333
52,0.6333
53,0.6
54,0.6
55,0.5333
56,0.7
57,0.6333
58,0.5333
59,0.5667
60,0.5333
61,0.6
62,0.5
63,0.6
64,0.6
65,0.5333
66,0.5333
67,0.4667
68,0.5333
69,0.5667
70,0.5667
71,0.5333
72,0.6333
73,0.5333
74,0.5333
75,0.6
76,0.5667
77,0.6
78,0.6
79,0.6
80,0.6333
81,0.6
82,0.6333
83,0.6333
84,0.5
85,0.5333
86,0.6
87,0.5333
88,0.5667
89,0.5333
90,0.6
91,0.5667
92,0.5667
93,0.5667
94,0.4667
95,0.6667
96,0.5
97,0.5
98,0.6667
99,0.4333
100,0.5
101,0.5667
102,0.4333
103,0.5667
104,0.5
105,0.4
106,0.4333
107,0.4333
108,0.5333
109,0.5
110,0.5
111,0.6
112,0.4667
113,0.5333
114,0.5333
115,0.5
116,0.4333
117,0.6
118,0.4333
119,0.5667
120,0.5
121,0.5
122,0.5667
123,0.5333
124,0.5
125,0.5667
126,0.5333
127,0.5
128,0.6333
129,0.6667
130,0.5667
131,0.5333
132,0.4667
133,0.5
134,0.5667
135,0.5
136,0.5
137,0.5667
138,0.4667
139,0.6
140,0.4333
141,0.5333
142,0.4333
143,0.5333
144,0.5333
145,0.4667
146,0.5333
147,0.5
148,0.5667
149,0.6333
150,0.5333
151,0.5333
152,0.5333
153,0.6
154,0.6667
155,0.5667
156,0.6667
157,0.6
158,0.5
159,0.6
160,0.5667
161,0.5333
162,0.5333
163,0.5
164,0.5333
165,0.6667
166,0.6
167,0.5667
168,0.6
169,0.5
170,0.5333
171,0.5667
172,0.5333
173,0.5333
174,0.5667
175,0.5
176,0.5
177,0.5667
178,0.5333
179,0.5667
180,0.5667
181,0.5333
182,0.6667
183,0.4667
184,0.3667
185,0.5
186,0.5667
187,0.5
188,0.5667
189,0.5
190,0.5
191,0.6
192,0.5667
193,0.6
194,0.6
195,0.5667
196,0.5333
197,0.6333
198,0.4667
199,0.6
200,0.6
201,0.5667
202,0.5
203,0.5333
204,0.5667
205,0.5667
206,0.6333
207,0.5333
208,0.5333
209,0.5
210,0.5667
211,0.5667
212,0.5333
213,0.5667
