Step,TotalReward
1,0
2,2
3,3
4,3
5,3
6,4
7,2
8,3
9,4
10,3
11,2
12,3
13,2
14,2
15,3
16,2
17,3
18,3
19,3
20,3
21,2
22,3
23,3
24,3
25,1
26,1
27,3
28,4
29,2
30,2
31,3
32,3
33,3
34,1
35,3
36,1
37,4
38,2
39,1
40,2
41,1
42,2
43,3
44,2
45,0
46,2
47,1
48,2
49,3
50,3
51,3
52,1
53,1
54,2
55,1
56,2
57,3
58,2
59,2
60,3
61,1
62,3
63,0
64,1
65,2
66,1
67,1
68,2
69,1
70,1
71,3
72,1
73,2
74,2
75,1
76,3
77,1
78,3
79,1
80,4
81,3
82,3
83,1
84,3
85,1
86,2
87,3
88,2
89,1
90,1
91,2
92,1
93,2
94,1
95,1
96,1
97,2
98,3
99,2
100,3
101,2
102,3
103,0
104,1
105,2
106,2
107,4
108,2
109,3
110,1
111,4
112,3
113,2
114,1
115,3
116,2
117,3
118,0
119,3
120,2
121,2
122,1
123,1
124,3
125,3
126,2
127,2
128,2
129,2
130,3
131,2
132,2
133,2
134,1
135,3
136,2
137,3
138,1
139,2
140,2
141,2
142,1
143,1
144,3
145,3
146,2
147,3
148,3
149,4
150,3
151,4
152,3
153,3
154,1
155,3
156,2
157,3
158,4
159,1
160,2
161,3
162,4
163,3
164,2
165,3
166,1
167,3
168,3
169,5
170,1
171,3
172,2
173,2
174,3
175,3
176,1
177,3
178,1
179,5
180,3
181,1
182,3
183,1
184,2
185,2
186,2
187,1
188,1
189,3
190,2
191,2
192,3
193,2
194,3
195,2
196,1
197,3
198,0
199,2
200,1
201,1
202,2
203,1
204,1
205,1
206,2
207,3
208,3
209,0
210,2
211,3
212,2
213,1
214,0
215,0
216,1
217,2
218,3
219,3
220,3
221,1
222,1
223,1
224,0
225,2
226,0
227,0
228,1
229,2
230,2
231,3
232,0
233,2
234,0
235,3
236,3
237,2
238,2
239,2
240,1
241,1
242,2
243,1
244,2
245,1
246,2
247,2
248,2
249,2
250,0
251,3
252,2
253,3
254,3
255,0
256,2
257,2
258,1
259,3
260,2
261,2
262,2
263,2
264,3
265,2
266,2
267,1
268,2
269,1
270,2
271,2
272,2
273,2
274,2
275,2
276,3
277,1
278,3
279,1
280,2
281,4
282,2
283,1
284,3
285,1
286,2
287,1
288,2
289,4
290,2
291,2
292,1
293,2
294,2
295,1
296,1
297,2
298,3
299,1
300,2
301,1
302,2
303,2
304,3
305,3
306,2
307,2
308,1
309,1
310,1
311,3
312,3
313,3
314,2
315,2
316,2
317,2
318,2
319,1
320,2
321,3
322,1
323,3
324,4
325,2
326,5
327,1
328,4
329,1
330,2
331,1
332,3
333,3
334,2
335,1
336,2
337,4
338,3
339,2
340,3
341,4
342,1
343,2
344,4
345,2
346,3
347,2
348,4
349,2
350,1
351,2
352,2
353,2
354,1
355,1
356,3
357,3
358,2
359,2
360,3
361,2
362,3
363,2
364,3
365,3
366,2
367,3
368,1
369,2
370,2
371,3
372,3
373,2
374,2
375,2
376,2
377,1
378,1
379,2
380,2
381,2
382,1
383,3
384,3
385,2
386,2
387,3
388,4
389,7
390,1
391,1
392,3
393,3
394,4
395,1
396,2
397,3
398,3
399,1
400,1
401,4
402,0
403,0
404,3
405,2
406,4
407,1
408,3
409,3
410,2
411,3
412,4
413,2
414,2
415,1
416,4
417,1
418,2
419,2
420,1
421,4
422,1
423,3
424,2
425,4
426,1
427,2
428,0
429,1
430,0
431,1
432,2
433,1
434,2
435,3
436,1
437,3
438,3
439,2
440,0
441,2
442,2
443,0
444,1
445,4
446,5
447,1
448,2
449,0
450,4
451,4
452,2
453,3
454,2
455,1
456,5
457,3
458,4
459,4
460,5
461,1
462,4
463,5
464,1
465,4
466,1
467,2
468,2
469,2
470,1
471,3
472,1
473,2
474,3
475,1
476,2
477,1
478,2
479,3
480,3
481,2
482,2
483,2
484,2
485,5
486,3
487,3
488,3
489,0
490,1
491,4
492,2
493,1
494,3
495,3
496,2
497,1
498,1
499,1
500,1
501,3
502,3
503,4
504,3
505,3
506,2
507,1
508,4
509,2
510,3
511,2
512,4
513,4
514,1
515,5
516,3
517,3
518,4
519,2
520,2
521,4
522,3
523,3
524,2
525,2
526,2
527,3
528,2
529,3
530,4
531,2
532,2
533,3
534,3
535,3
536,2
537,2
538,2
539,4
540,0
541,3
542,4
543,3
544,1
545,2
546,3
547,3
548,3
549,3
550,4
551,2
552,4
553,1
554,2
555,2
556,4
557,2
558,2
559,4
560,3
561,4
562,2
563,2
564,3
565,1
566,2
567,1
568,2
569,2
570,4
571,2
572,2
573,2
574,5
575,3
576,2
577,2
578,3
579,1
580,4
581,3
582,4
583,2
584,2
585,1
586,2
587,1
588,2
589,2
590,2
591,1
592,2
593,2
594,1
595,2
596,2
597,3
598,2
599,2
600,2
601,1
602,3
603,1
604,6
605,3
606,1
607,2
608,3
609,2
610,2
611,2
612,2
613,3
614,2
615,2
616,3
617,1
618,3
619,2
620,4
621,4
622,2
623,1
624,3
625,2
626,1
627,2
628,2
629,2
630,3
631,4
632,2
633,4
634,2
635,1
636,2
637,2
638,2
639,0
640,4
641,2
642,4
643,2
644,1
645,3
646,3
647,1
648,2
649,2
650,1
651,3
652,2
653,2
654,1
655,3
656,0
657,1
658,1
659,3
660,1
661,2
662,2
663,0
664,1
665,2
666,3
667,3
668,3
669,1
670,2
671,1
672,4
673,2
674,3
675,3
676,3
677,5
678,2
679,2
680,1
681,3
682,1
683,4
684,1
685,4
686,2
687,3
688,2
689,5
690,2
691,1
692,1
693,4
694,2
695,2
696,4
697,2
698,1
699,2
700,1
701,2
702,5
703,1
704,1
705,3
706,3
707,2
708,0
709,3
710,2
711,3
712,3
713,0
714,3
715,3
716,2
717,1
718,1
719,0
720,2
721,3
722,3
723,1
724,2
725,3
726,1
727,1
728,1
729,3
730,1
731,3
732,3
733,3
734,3
735,4
736,3
737,2
738,3
739,2
740,3
741,2
742,2
743,3
744,2
745,2
746,2
747,1
748,2
749,3
750,3
751,4
752,4
753,1
754,1
755,3
756,4
757,1
758,0
759,3
760,3
761,3
762,3
763,1
764,4
765,2
766,1
767,3
768,4
769,2
770,3
771,1
772,3
773,1
774,1
775,2
776,1
777,1
778,1
779,1
780,3
781,1
782,2
783,1
784,4
785,3
786,3
787,2
788,1
789,1
790,2
791,2
792,3
793,1
794,4
795,3
796,0
797,1
798,2
799,2
800,4
801,2
802,1
803,1
804,0
805,2
806,2
807,3
808,1
809,1
810,2
811,1
812,1
813,2
814,1
815,0
816,1
817,0
818,2
819,1
820,1
821,3
822,1
823,1
824,1
825,2
826,1
827,2
828,5
829,2
830,0
831,2
832,1
833,3
834,0
835,4
836,1
837,2
838,3
839,1
840,3
841,1
842,3
843,2
844,1
845,3
846,2
847,0
848,0
849,1
850,0
851,3
852,3
853,1
854,2
855,2
856,1
857,1
858,3
859,1
860,1
861,2
862,3
863,2
864,1
865,2
866,2
867,2
868,3
869,2
870,3
871,3
872,1
873,0
874,2
875,1
876,2
877,2
878,2
879,2
880,2
881,1
882,1
883,1
884,1
885,2
886,0
887,1
888,1
889,1
890,1
891,0
892,0
893,2
894,2
895,2
896,2
897,1
898,2
899,1
900,3
901,2
902,1
903,1
904,1
905,2
906,1
907,0
908,2
909,1
910,1
911,2
912,3
913,0
914,1
915,2
916,2
917,1
918,2
919,1
920,3
921,4
922,2
923,4
924,1
925,3
926,2
927,2
928,3
929,2
930,2
931,2
932,2
933,1
934,2
935,3
936,2
937,3
938,1
939,3
940,3
941,2
942,2
943,1
944,3
945,2
946,1
947,3
948,1
949,1
950,2
951,2
952,2
953,4
954,2
955,3
956,1
957,2
958,0
959,4
960,2
961,2
962,1
963,1
964,2
965,3
966,2
967,4
968,3
969,0
970,2
971,2
972,2
973,2
974,1
975,3
976,2
977,1
978,2
979,1
980,3
981,1
982,2
983,3
984,1
985,2
986,2
987,2
988,2
989,3
990,2
991,1
992,1
993,3
994,1
995,2
996,1
997,3
998,0
999,3
1000,2
