Step,SatisfactionRate
51,0.425
52,0.3
53,0.25
54,0.25
55,0.2
56,0.2
57,0.425
58,0.25
59,0.35
60,0.125
61,0.3
62,0.175
63,0.3
64,0.075
65,0.175
66,0.275
67,0.175
68,0.175
69,0.275
70,0.3
71,0.15
72,0.075
73,0.4
74,0.175
75,0.225
76,0.3
77,0.35
78,0.175
79,0.225
80,0.25
81,0.15
82,0.3
83,0.175
84,0.175
85,0.3
86,0.175
87,0.375
88,0.275
89,0.425
90,0.175
91,0.25
92,0.175
93,0.325
94,0.25
95,0.125
96,0.175
97,0.125
98,0.3
99,0.15
100,0.275
101,0.225
102,0.275
103,0.325
104,0.175
105,0.325
106,0.35
107,0.325
108,0.275
109,0.3
110,0.225
111,0.35
112,0.275
113,0.15
114,0.15
115,0.3
116,0.25
117,0.375
118,0.15
119,0.1
120,0.2
121,0.25
122,0.1
123,0.35
124,0.325
125,0.25
126,0.25
127,0.125
128,0.35
129,0.275
130,0.175
131,0.25
132,0.375
133,0.225
134,0.4
135,0.2
136,0.25
137,0.15
138,0.275
139,0.225
140,0.2
141,0.225
142,0.2
143,0.125
144,0.15
145,0.2
146,0.25
147,0.325
148,0.225
149,0.3
150,0.25
151,0.225
152,0.125
153,0.275
154,0.15
155,0.3
156,0.25
157,0.15
158,0.1
159,0.25
160,0.175
161,0.25
162,0.275
163,0.3
164,0.3
165,0.4
166,0.375
167,0.325
168,0.275
169,0.2
170,0.325
171,0.275
172,0.15
173,0.25
174,0.375
175,0.2
176,0.175
177,0.225
178,0.225
179,0.3
180,0.375
181,0.25
182,0.15
183,0.3
184,0.125
185,0.3
186,0.2
187,0.275
188,0.225
189,0.175
190,0.325
191,0.375
192,0.175
193,0.225
194,0.25
195,0.225
196,0.3
197,0.375
198,0.225
199,0.3
200,0.225
201,0.325
202,0.3
203,0.25
204,0.25
205,0.35
206,0.175
207,0.15
208,0.325
209,0.25
210,0.35
211,0.225
212,0.3
213,0.225
214,0.35
215,0.325
216,0.25
217,0.2
218,0.275
219,0.325
220,0.2
221,0.175
222,0.325
223,0.2
224,0.3
225,0.15
226,0.225
227,0.225
228,0.3
229,0.25
230,0.25
231,0.2
232,0.275
233,0.225
234,0.25
235,0.125
236,0.375
237,0.275
238,0.3
239,0.275
240,0.25
241,0.325
242,0.175
243,0.25
244,0.15
245,0.225
246,0.15
247,0.225
248,0.225
249,0.3
250,0.25
251,0.275
252,0.225
253,0.25
254,0.35
255,0.15
256,0.15
257,0.25
258,0.325
259,0.3
260,0.25
261,0.2
262,0.225
263,0.125
264,0.2
265,0.125
266,0.375
267,0.375
268,0.175
269,0.3
270,0.125
271,0.225
272,0.175
273,0.125
274,0.15
275,0.125
276,0.15
277,0.125
278,0.375
279,0.4
