Step,SatisfactionRate
51,0.5
52,0.375
53,0.325
54,0.325
55,0.275
56,0.275
57,0.5
58,0.325
59,0.425
60,0.2
61,0.375
62,0.25
63,0.375
64,0.15
65,0.25
66,0.35
67,0.25
68,0.25
69,0.35
70,0.375
71,0.225
72,0.15
73,0.475
74,0.25
75,0.3
76,0.375
77,0.425
78,0.25
79,0.3
80,0.325
81,0.225
82,0.375
83,0.25
84,0.25
85,0.375
86,0.25
87,0.45
88,0.35
89,0.5
90,0.25
91,0.325
92,0.25
93,0.4
94,0.325
95,0.2
96,0.225
97,0.2
98,0.375
99,0.225
100,0.35
101,0.3
102,0.35
103,0.4
104,0.225
105,0.4
106,0.425
107,0.4
108,0.35
109,0.375
110,0.3
111,0.425
112,0.35
113,0.225
114,0.225
115,0.375
116,0.325
117,0.45
118,0.225
119,0.175
120,0.275
121,0.325
122,0.175
123,0.425
124,0.4
125,0.325
126,0.325
127,0.2
128,0.425
129,0.35
130,0.25
131,0.325
132,0.45
133,0.3
134,0.475
135,0.275
136,0.325
137,0.225
138,0.35
139,0.3
140,0.275
141,0.3
142,0.275
143,0.2
144,0.225
145,0.275
146,0.325
147,0.4
148,0.3
149,0.375
150,0.325
151,0.3
152,0.2
153,0.35
154,0.225
155,0.375
156,0.325
157,0.225
158,0.175
159,0.325
160,0.25
161,0.325
162,0.35
163,0.375
164,0.375
165,0.475
166,0.45
167,0.4
168,0.35
169,0.275
170,0.4
171,0.35
172,0.225
173,0.325
174,0.45
175,0.275
176,0.25
177,0.3
178,0.3
179,0.375
180,0.45
181,0.3
182,0.225
183,0.375
184,0.2
185,0.375
186,0.25
187,0.35
188,0.3
189,0.25
190,0.4
191,0.45
192,0.25
193,0.3
194,0.325
195,0.3
196,0.375
197,0.45
198,0.3
199,0.375
200,0.3
201,0.4
202,0.375
203,0.325
204,0.325
205,0.425
206,0.225
207,0.225
208,0.4
209,0.325
210,0.425
211,0.3
212,0.375
213,0.3
214,0.425
215,0.4
216,0.325
217,0.25
218,0.35
219,0.4
220,0.275
221,0.25
222,0.4
223,0.25
224,0.375
225,0.2
226,0.3
