Step,TotalReward
1,0
2,1
3,1
4,3
5,0
6,2
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,2
17,1
18,1
19,3
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,2
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,2
41,0
42,0
43,1
44,0
45,1
46,0
47,2
48,1
49,0
50,1
51,1
52,2
53,1
54,0
55,2
56,0
57,0
58,0
59,0
60,2
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,2
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,2
82,0
83,1
84,0
85,2
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,2
95,0
96,2
97,1
98,2
99,2
100,0
101,1
102,0
103,0
104,0
105,2
106,1
107,1
108,1
109,0
110,0
111,0
112,1
113,0
114,2
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,0
132,2
133,0
134,2
135,1
136,1
137,0
138,2
139,0
140,1
141,1
142,1
143,0
144,2
145,1
146,0
147,2
148,2
149,1
150,0
151,1
152,2
153,2
154,0
155,0
156,0
157,0
158,2
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,2
168,0
169,2
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,2
179,0
180,0
181,0
182,1
183,2
184,0
185,1
186,0
187,0
188,1
189,2
190,0
191,0
192,1
193,0
194,2
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,3
205,2
206,1
207,2
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,2
218,1
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,2
227,0
228,1
229,3
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,2
249,0
250,1
251,2
252,1
253,1
254,0
255,0
256,2
257,0
258,0
259,1
260,0
261,0
262,2
263,1
264,0
265,1
266,1
267,0
268,0
269,2
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,1
289,2
290,0
291,0
292,2
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,2
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,1
324,0
325,2
326,1
327,2
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,2
337,1
338,1
339,0
340,0
341,1
342,0
343,1
344,0
345,2
346,2
347,1
348,2
349,0
350,1
351,1
352,1
353,2
354,2
355,1
356,1
357,0
358,0
359,1
360,0
361,1
362,1
363,1
364,2
365,1
366,0
367,1
368,1
369,2
370,2
371,2
372,1
373,0
374,1
375,2
376,1
377,1
378,1
379,1
380,2
381,0
382,0
383,1
384,1
385,3
386,1
387,2
388,2
389,2
390,3
391,1
392,0
393,1
394,2
395,1
396,2
397,4
398,0
399,2
400,1
401,1
402,1
403,2
404,2
405,2
406,2
407,2
408,2
409,1
410,2
411,0
412,0
413,2
414,2
415,3
416,0
417,2
418,2
