Step,SatisfactionRate
51,0.4227
52,0.4679
53,0.5269
54,0.4154
55,0.2712
56,0.435
57,0.3672
58,0.3679
59,0.3659
60,0.375
61,0.3312
62,0.47
63,0.4679
64,0.3179
65,0.2679
66,0.41
67,0.3125
68,0.475
69,0.2625
70,0.5312
71,0.3654
72,0.4647
73,0.4766
74,0.4147
75,0.4625
76,0.465
77,0.63
78,0.5232
79,0.4125
80,0.3571
81,0.3625
82,0.58
83,0.4227
84,0.37
85,0.5813
86,0.3167
87,0.475
88,0.5786
89,0.3159
90,0.33
91,0.4154
92,0.2625
93,0.465
94,0.4125
95,0.4125
96,0.4125
97,0.5219
98,0.3227
99,0.4766
100,0.4125
101,0.1659
102,0.465
103,0.3071
104,0.5312
105,0.1159
106,0.43
107,0.3688
108,0.41
109,0.4786
110,0.4125
111,0.3727
112,0.5269
113,0.1688
114,0.2179
115,0.2769
116,0.3766
117,0.3286
118,0.4275
119,0.2125
120,0.4813
121,0.3775
122,0.41
123,0.2179
124,0.3125
125,0.3679
126,0.3571
127,0.415
128,0.3571
129,0.5286
130,0.5279
131,0.37
132,0.3063
133,0.375
134,0.3295
135,0.41
136,0.3596
137,0.3596
138,0.3269
139,0.36
140,0.3625
141,0.2667
142,0.3063
143,0.5232
144,0.5235
145,0.2688
146,0.3227
147,0.4187
148,0.5312
149,0.3712
150,0.4212
151,0.4187
152,0.3625
153,0.4154
154,0.3625
155,0.3571
156,0.5364
157,0.4125
158,0.1596
159,0.3625
160,0.3625
161,0.4691
162,0.3596
163,0.5286
164,0.4732
165,0.4212
166,0.2625
167,0.3786
168,0.4795
169,0.3625
170,0.3659
171,0.4679
172,0.4795
173,0.2712
174,0.3269
175,0.47
176,0.3625
177,0.3091
178,0.5232
179,0.4125
180,0.3727
181,0.5232
182,0.2625
183,0.5266
184,0.4125
185,0.5827
186,0.425
187,0.1955
188,0.4125
189,0.475
190,0.325
191,0.52
192,0.525
193,0.4766
194,0.26
195,0.5232
196,0.5312
197,0.4154
198,0.2571
199,0.465
200,0.4125
201,0.5269
202,0.3625
203,0.3063
204,0.475
205,0.2571
206,0.425
207,0.36
208,0.3596
209,0.475
210,0.3071
211,0.5786
212,0.5219
213,0.3038
214,0.36
215,0.4786
216,0.43
217,0.41
218,0.4212
219,0.3038
220,0.375
221,0.5269
222,0.3038
223,0.5327
224,0.47
225,0.41
226,0.42
227,0.575
228,0.41
229,0.4333
230,0.3906
231,0.4125
232,0.3571
233,0.3038
234,0.3596
235,0.485
236,0.5875
237,0.41
238,0.525
239,0.4795
240,0.4732
241,0.465
242,0.5219
243,0.52
244,0.4732
245,0.5312
246,0.3766
247,0.3571
248,0.3596
249,0.4712
250,0.5232
251,0.5827
252,0.4917
253,0.5232
254,0.4125
255,0.6339
256,0.3038
257,0.4795
258,0.3571
259,0.5827
260,0.4712
261,0.5232
262,0.3269
263,0.4227
264,0.4187
265,0.4827
266,0.3812
267,0.465
268,0.4625
269,0.4269
270,0.325
271,0.3625
272,0.3864
273,0.475
274,0.525
275,0.3812
276,0.5312
277,0.4187
278,0.5786
279,0.5827
280,0.325
281,0.4795
282,0.3571
283,0.3125
284,0.41
285,0.4275
286,0.4125
287,0.425
288,0.525
289,0.3232
290,0.4312
291,0.3827
292,0.5827
293,0.5232
294,0.425
295,0.3786
296,0.3571
297,0.36
298,0.6266
299,0.5232
300,0.425
301,0.4769
302,0.47
303,0.4333
304,0.41
305,0.5269
306,0.4769
307,0.5286
308,0.325
309,0.225
310,0.425
311,0.2795
312,0.575
313,0.3688
314,0.47
315,0.475
316,0.4275
317,0.2732
318,0.4227
319,0.5191
320,0.4679
321,0.5425
322,0.4125
323,0.41
324,0.375
325,0.5719
326,0.36
327,0.3719
328,0.26
329,0.2275
330,0.4125
331,0.4625
332,0.3719
333,0.3625
334,0.4232
335,0.31
336,0.5364
337,0.3625
338,0.4625
339,0.4712
340,0.5312
341,0.4125
342,0.4625
343,0.4647
344,0.5425
345,0.4275
346,0.5691
347,0.37
348,0.325
349,0.3625
350,0.4625
351,0.475
352,0.4125
353,0.5269
354,0.4769
355,0.5232
356,0.4813
357,0.36
358,0.41
359,0.3232
360,0.3625
361,0.3672
362,0.3672
363,0.36
364,0.3732
365,0.4125
366,0.32
367,0.5232
368,0.3691
369,0.4769
370,0.41
371,0.36
372,0.5719
373,0.36
374,0.4187
375,0.41
376,0.41
377,0.4167
378,0.3672
379,0.5191
380,0.3625
381,0.2688
382,0.4813
383,0.525
384,0.41
385,0.47
386,0.5172
387,0.4625
388,0.5147
389,0.47
390,0.4625
391,0.4625
392,0.3654
393,0.41
394,0.3654
395,0.4795
396,0.5339
397,0.32
398,0.4625
399,0.41
400,0.5219
401,0.3212
402,0.3364
403,0.3659
404,0.3786
405,0.2571
406,0.2712
407,0.3179
408,0.41
409,0.26
410,0.475
411,0.5827
412,0.3125
413,0.3219
414,0.4147
415,0.5232
416,0.3571
417,0.4269
418,0.3625
419,0.4125
420,0.3812
421,0.4679
422,0.3769
423,0.3596
424,0.4625
425,0.3732
426,0.5327
427,0.5327
428,0.37
429,0.2071
430,0.4327
431,0.2159
432,0.3647
433,0.3167
434,0.3219
435,0.3167
436,0.4786
437,0.37
438,0.175
439,0.315
440,0.3625
441,0.4275
442,0.3769
443,0.415
444,0.37
445,0.4232
446,0.3812
447,0.3125
448,0.285
449,0.4232
450,0.4786
451,0.4647
452,0.3732
453,0.375
454,0.375
455,0.3286
456,0.375
457,0.2071
458,0.3091
459,0.3219
460,0.5312
461,0.4333
462,0.52
463,0.375
464,0.4227
465,0.375
466,0.4172
467,0.315
468,0.4154
469,0.3659
470,0.3286
471,0.3659
472,0.3219
473,0.4795
474,0.5312
475,0.3232
476,0.2659
477,0.4679
478,0.3679
479,0.27
480,0.3647
481,0.375
482,0.3269
483,0.41
484,0.3091
485,0.475
486,0.4154
487,0.4679
488,0.3179
489,0.3596
490,0.4187
491,0.3232
492,0.375
493,0.3091
494,0.3786
495,0.4679
496,0.365
497,0.37
498,0.3167
499,0.4786
500,0.3596
501,0.3691
502,0.3212
503,0.4179
504,0.3219
505,0.3125
506,0.3732
507,0.275
508,0.465
509,0.4795
510,0.2583
511,0.365
512,0.3625
513,0.4154
514,0.4679
515,0.4679
516,0.3679
517,0.3596
518,0.4125
519,0.3647
520,0.4232
521,0.3232
522,0.36
523,0.2925
524,0.3212
525,0.4712
526,0.4227
527,0.3125
528,0.3712
529,0.4154
530,0.22
531,0.4179
532,0.5327
533,0.325
534,0.3625
535,0.32
536,0.27
537,0.3625
538,0.3596
539,0.3659
540,0.5232
541,0.2583
542,0.3596
543,0.4184
544,0.325
545,0.43
546,0.3719
547,0.3219
548,0.37
549,0.4712
550,0.3172
551,0.5232
552,0.4691
553,0.37
554,0.3125
555,0.3187
556,0.2712
557,0.4154
558,0.3179
559,0.4219
560,0.3212
561,0.4154
562,0.37
563,0.2688
564,0.4191
565,0.3625
566,0.4154
567,0.4227
568,0.3625
569,0.3269
570,0.315
571,0.4154
572,0.4286
573,0.3219
574,0.1625
575,0.3187
576,0.3625
577,0.2125
578,0.4179
579,0.3732
580,0.4712
581,0.4679
582,0.4154
583,0.3167
584,0.3154
585,0.4125
586,0.4154
587,0.4227
588,0.4125
589,0.3727
590,0.3625
591,0.1625
592,0.365
593,0.42
594,0.4679
595,0.4712
596,0.265
597,0.3125
598,0.4679
599,0.375
600,0.5719
601,0.3688
602,0.3679
603,0.4679
604,0.3769
605,0.4712
606,0.42
607,0.465
608,0.2125
609,0.4679
610,0.3625
611,0.4712
612,0.2596
613,0.5719
614,0.4179
615,0.4227
616,0.4712
617,0.475
618,0.5219
619,0.3179
620,0.3727
621,0.52
622,0.5232
623,0.465
624,0.4679
625,0.4712
626,0.4672
627,0.3625
628,0.4187
629,0.575
630,0.4227
631,0.5172
632,0.415
633,0.3712
634,0.52
635,0.5147
636,0.4187
637,0.5269
638,0.3596
639,0.4187
640,0.415
641,0.4154
642,0.3096
643,0.5172
644,0.2654
645,0.3179
646,0.3269
647,0.4712
648,0.225
649,0.47
650,0.5719
651,0.3091
652,0.3625
653,0.325
654,0.52
655,0.4154
656,0.3766
657,0.3125
658,0.3219
659,0.4187
660,0.5232
661,0.4732
662,0.4187
663,0.4154
664,0.4187
665,0.37
666,0.3269
667,0.4679
668,0.4172
669,0.3269
670,0.2732
671,0.4191
672,0.4154
673,0.4154
674,0.4147
675,0.3679
676,0.3659
677,0.6235
678,0.3096
679,0.3125
680,0.3232
681,0.4286
682,0.2
683,0.525
684,0.3672
685,0.575
686,0.4732
687,0.5219
688,0.2523
689,0.255
690,0.475
691,0.3732
692,0.4286
693,0.5219
694,0.3125
695,0.4712
696,0.4125
697,0.255
698,0.2091
699,0.3708
700,0.2688
701,0.475
702,0.2125
703,0.4712
704,0.2583
705,0.5286
706,0.475
707,0.2583
708,0.2062
709,0.4191
710,0.3625
711,0.2571
712,0.5269
713,0.2031
714,0.3625
715,0.2031
716,0.4839
717,0.1955
718,0.255
719,0.1955
720,0.3167
721,0.5286
722,0.2523
723,0.3096
724,0.255
725,0.2523
726,0.2
727,0.52
728,0.33
729,0.3596
730,0.1438
731,0.3571
732,0.375
733,0.575
734,0.2038
735,0.2571
736,0.4227
737,0.4125
738,0.2023
739,0.2523
740,0.3596
741,0.255
742,0.475
743,0.3091
744,0.5269
745,0.255
746,0.155
747,0.2591
748,0.3125
749,0.2591
750,0.4712
751,0.4679
752,0.3659
753,0.4672
754,0.415
755,0.5219
756,0.2625
757,0.4679
758,0.4712
759,0.3659
760,0.4719
761,0.4125
762,0.315
763,0.365
764,0.3159
765,0.4187
766,0.5147
767,0.315
768,0.6266
769,0.575
770,0.3659
771,0.4154
772,0.3672
773,0.3596
774,0.2625
775,0.4679
776,0.3091
777,0.4712
778,0.4679
779,0.4187
780,0.2625
781,0.3625
782,0.2625
783,0.425
784,0.4712
785,0.2654
786,0.3125
787,0.5232
788,0.4732
789,0.3688
790,0.4712
791,0.4679
792,0.3063
793,0.4232
794,0.3212
795,0.4154
796,0.52
797,0.3679
798,0.4154
799,0.375
800,0.5719
801,0.3167
802,0.4769
803,0.3167
804,0.3688
805,0.2523
806,0.3219
807,0.2625
808,0.3091
809,0.37
810,0.2159
811,0.3167
812,0.3091
813,0.4172
814,0.32
815,0.2071
816,0.4154
817,0.37
818,0.3769
819,0.2071
820,0.4227
821,0.3679
822,0.275
823,0.3732
824,0.4712
825,0.38
826,0.42
827,0.42
828,0.3167
829,0.37
830,0.3167
831,0.4691
832,0.3232
833,0.2679
834,0.3159
835,0.05
836,0.3269
837,0.2031
838,0.4232
839,0.5219
840,0.3167
841,0.2071
842,0.4187
843,0.3625
844,0.465
845,0.4769
846,0.3712
847,0.4179
848,0.475
849,0.4712
850,0.2125
851,0.1523
852,0.2679
853,0.3654
854,0.275
855,0.1179
856,0.32
857,0.2071
858,0.27
859,0.3286
860,0.2167
861,0.275
862,0.3312
863,0.37
864,0.3286
865,0.47
866,0.415
867,0.3176
868,0.3625
869,0.275
870,0.3125
871,0.3679
872,0.37
873,0.2679
874,0.3654
875,0.285
876,0.365
877,0.215
878,0.4147
879,0.365
880,0.3625
881,0.37
882,0.2571
883,0.4147
884,0.3679
885,0.365
886,0.2125
887,0.42
888,0.2679
889,0.3893
890,0.3625
891,0.375
892,0.3625
893,0.3625
894,0.4625
895,0.31
896,0.4147
897,0.425
898,0.3812
899,0.2712
900,0.3691
901,0.3625
902,0.2583
903,0.2583
904,0.365
905,0.3625
906,0.425
907,0.3596
908,0.365
909,0.5779
910,0.2679
911,0.365
912,0.5266
913,0.275
914,0.415
915,0.3125
916,0.3625
917,0.3167
918,0.3691
919,0.47
920,0.2625
921,0.4154
922,0.5312
923,0.475
924,0.4684
925,0.2625
926,0.325
927,0.5312
928,0.3339
929,0.3786
930,0.3385
931,0.4191
932,0.2071
933,0.3125
934,0.3312
935,0.2719
936,0.3159
937,0.3219
938,0.4339
939,0.2071
940,0.2583
941,0.525
942,0.0875
943,0.4219
944,0.4813
945,0.5312
946,0.4813
947,0.1571
948,0.3279
949,0.1464
950,0.3312
951,0.4672
952,0.4708
953,0.365
954,0.2708
955,0.315
956,0.4312
957,0.315
958,0.3659
959,0.485
960,0.2672
961,0.4327
962,0.3708
963,0.315
964,0.3219
965,0.3125
966,0.3647
967,0.4191
968,0.4147
969,0.3125
970,0.4719
971,0.4147
972,0.3647
973,0.3647
974,0.4125
975,0.3625
976,0.4735
977,0.4147
978,0.4286
979,0.3672
980,0.4167
981,0.4172
982,0.3647
983,0.4172
984,0.3672
985,0.375
986,0.315
987,0.4172
988,0.1625
989,0.4219
990,0.47
991,0.4167
992,0.3647
993,0.3286
994,0.315
995,0.5279
996,0.4167
997,0.3667
998,0.2313
999,0.4191
1000,0.365
1001,0.375
1002,0.4172
1003,0.4279
1004,0.5235
1005,0.3654
1006,0.3167
1007,0.32
1008,0.4333
1009,0.2591
1010,0.3219
1011,0.5172
1012,0.3167
1013,0.2583
1014,0.3672
1015,0.37
1016,0.3712
1017,0.4275
1018,0.3672
1019,0.4672
1020,0.4187
1021,0.475
1022,0.2275
1023,0.5312
1024,0.3187
1025,0.3727
1026,0.22
1027,0.5172
1028,0.5232
1029,0.4275
1030,0.2769
1031,0.4275
1032,0.3192
1033,0.4227
1034,0.3732
1035,0.4227
1036,0.4712
1037,0.4712
1038,0.475
1039,0.475
1040,0.3769
1041,0.37
1042,0.3172
1043,0.22
1044,0.47
1045,0.2727
1046,0.37
1047,0.37
1048,0.3691
1049,0.2688
1050,0.3691
1051,0.37
1052,0.3672
1053,0.3295
1054,0.3812
1055,0.375
1056,0.3812
1057,0.5735
1058,0.2672
1059,0.3167
1060,0.3691
1061,0.4227
1062,0.375
1063,0.4219
1064,0.3269
1065,0.4275
1066,0.2667
1067,0.435
1068,0.285
1069,0.4172
1070,0.4172
1071,0.4172
1072,0.3672
1073,0.4
1074,0.3679
1075,0.3691
1076,0.415
1077,0.3295
1078,0.3659
1079,0.3232
1080,0.3659
1081,0.3672
1082,0.4333
1083,0.4679
1084,0.3659
1085,0.3625
1086,0.3625
1087,0.4154
1088,0.3625
1089,0.3659
1090,0.4125
1091,0.5232
1092,0.4227
1093,0.3625
1094,0.4672
1095,0.3125
1096,0.3625
1097,0.4227
1098,0.4679
1099,0.2712
1100,0.5172
1101,0.475
1102,0.3688
1103,0.3654
1104,0.5719
1105,0.4154
1106,0.3596
1107,0.4212
1108,0.4187
1109,0.4125
1110,0.4212
1111,0.3625
1112,0.4227
1113,0.4212
1114,0.4154
1115,0.4179
1116,0.375
1117,0.4679
1118,0.4625
1119,0.5691
1120,0.3063
1121,0.5719
1122,0.4125
1123,0.3596
1124,0.3625
1125,0.3625
1126,0.4154
1127,0.4154
1128,0.5219
1129,0.4672
1130,0.4154
1131,0.4679
1132,0.47
1133,0.3688
1134,0.4235
1135,0.3596
1136,0.275
1137,0.4125
1138,0.4212
1139,0.5235
1140,0.4187
1141,0.4125
1142,0.4625
1143,0.525
1144,0.4187
1145,0.415
1146,0.4691
1147,0.4672
1148,0.4172
1149,0.5172
1150,0.47
1151,0.5167
1152,0.32
1153,0.5684
1154,0.5708
1155,0.4679
1156,0.4179
1157,0.4191
1158,0.4719
1159,0.4672
1160,0.4179
1161,0.575
1162,0.4679
1163,0.5708
1164,0.4172
1165,0.415
1166,0.4179
1167,0.4212
1168,0.5219
1169,0.4179
1170,0.475
1171,0.6279
1172,0.4786
1173,0.4719
1174,0.4691
1175,0.4154
