Step,SatisfactionRate
51,0.75
52,0.8
53,0.85
54,0.75
55,0.6
56,0.75
57,0.7
58,0.7
59,0.7
60,0.7
61,0.65
62,0.8
63,0.8
64,0.65
65,0.6
66,0.75
67,0.65
68,0.8
69,0.6
70,0.85
71,0.7
72,0.8
73,0.8
74,0.75
75,0.8
76,0.8
77,0.95
78,0.85
79,0.75
80,0.7
81,0.7
82,0.9
83,0.75
84,0.7
85,0.9
86,0.65
87,0.8
88,0.9
89,0.65
90,0.65
91,0.75
92,0.6
93,0.8
94,0.75
95,0.75
96,0.75
97,0.85
98,0.65
99,0.8
100,0.75
101,0.5
102,0.8
103,0.65
104,0.85
105,0.45
106,0.75
107,0.7
108,0.75
109,0.8
110,0.75
111,0.75
112,0.85
113,0.5
114,0.55
115,0.6
116,0.7
117,0.65
118,0.75
119,0.55
120,0.8
121,0.7
122,0.75
123,0.55
124,0.65
125,0.7
126,0.7
127,0.75
128,0.7
129,0.85
130,0.85
131,0.7
132,0.65
133,0.7
134,0.65
135,0.75
136,0.7
137,0.7
138,0.65
139,0.7
140,0.7
141,0.6
142,0.65
143,0.85
144,0.85
145,0.6
146,0.65
147,0.75
148,0.85
149,0.7
150,0.75
151,0.75
152,0.7
153,0.75
154,0.7
155,0.7
156,0.85
157,0.75
158,0.5
159,0.7
160,0.7
161,0.8
162,0.7
163,0.85
164,0.8
165,0.75
166,0.6
167,0.55
168,0.8
169,0.7
170,0.7
171,0.8
172,0.75
173,0.6
174,0.65
175,0.8
176,0.7
177,0.65
178,0.85
179,0.75
180,0.7
181,0.85
182,0.55
183,0.8
184,0.75
185,0.9
186,0.65
187,0.55
188,0.75
189,0.75
190,0.65
191,0.85
192,0.85
193,0.8
194,0.6
195,0.85
196,0.85
197,0.75
198,0.6
199,0.8
200,0.75
201,0.85
202,0.7
203,0.65
204,0.8
205,0.6
206,0.75
207,0.75
208,0.7
209,0.8
210,0.65
211,0.9
212,0.85
213,0.65
214,0.7
215,0.8
216,0.75
217,0.75
218,0.75
219,0.65
220,0.7
221,0.85
222,0.65
223,0.85
224,0.8
225,0.75
226,0.75
227,0.9
228,0.75
229,0.75
230,0.7
231,0.75
232,0.7
233,0.65
234,0.7
235,0.8
236,0.9
237,0.75
238,0.85
239,0.8
240,0.8
241,0.8
242,0.85
243,0.85
244,0.8
245,0.85
246,0.7
247,0.7
248,0.7
249,0.8
250,0.85
251,0.9
252,0.8
253,0.85
254,0.75
255,0.95
256,0.65
257,0.8
258,0.7
259,0.9
260,0.8
261,0.85
262,0.65
263,0.75
264,0.75
265,0.8
266,0.55
267,0.8
268,0.8
269,0.75
270,0.65
271,0.7
272,0.65
273,0.8
274,0.85
275,0.7
276,0.85
277,0.75
278,0.9
279,0.9
280,0.65
281,0.8
282,0.7
283,0.65
284,0.75
285,0.75
286,0.75
287,0.75
288,0.85
289,0.65
290,0.75
291,0.7
292,0.9
293,0.85
294,0.75
295,0.7
296,0.7
297,0.7
298,0.95
299,0.85
300,0.75
301,0.8
302,0.8
303,0.75
304,0.75
305,0.85
306,0.8
307,0.85
308,0.65
309,0.55
310,0.75
311,0.6
312,0.9
313,0.7
314,0.8
315,0.8
316,0.75
317,0.6
318,0.75
319,0.85
320,0.8
321,0.85
322,0.75
323,0.75
324,0.7
325,0.9
326,0.7
327,0.7
328,0.6
329,0.55
330,0.75
331,0.8
332,0.7
333,0.7
334,0.75
335,0.65
336,0.85
337,0.7
338,0.8
339,0.8
340,0.85
341,0.75
342,0.8
343,0.8
344,0.85
345,0.75
346,0.9
347,0.7
348,0.65
349,0.7
350,0.8
351,0.8
352,0.75
353,0.85
354,0.8
355,0.85
356,0.8
357,0.7
358,0.75
359,0.65
360,0.7
361,0.7
362,0.7
363,0.7
364,0.7
365,0.75
366,0.65
367,0.85
368,0.7
369,0.8
370,0.75
371,0.7
372,0.9
373,0.7
374,0.75
375,0.75
376,0.75
377,0.75
378,0.7
379,0.85
380,0.7
381,0.6
382,0.8
383,0.85
384,0.75
385,0.8
386,0.85
387,0.8
388,0.85
389,0.8
390,0.8
391,0.8
392,0.7
393,0.75
394,0.7
395,0.8
396,0.85
397,0.65
398,0.8
399,0.75
400,0.85
401,0.55
402,0.65
403,0.7
404,0.7
405,0.6
406,0.6
407,0.6
408,0.75
409,0.6
410,0.8
411,0.9
412,0.65
413,0.65
414,0.75
415,0.85
416,0.7
417,0.75
418,0.7
419,0.75
420,0.7
421,0.8
422,0.7
423,0.7
424,0.8
425,0.7
426,0.85
427,0.85
428,0.7
429,0.5
430,0.75
431,0.55
432,0.7
433,0.65
434,0.65
435,0.65
436,0.8
437,0.7
438,0.5
439,0.65
440,0.7
441,0.75
442,0.7
443,0.7
444,0.7
445,0.75
446,0.7
447,0.65
448,0.6
449,0.75
450,0.8
451,0.8
452,0.7
453,0.7
454,0.7
455,0.65
456,0.7
457,0.55
458,0.65
459,0.65
460,0.85
461,0.75
462,0.85
463,0.7
464,0.75
465,0.7
466,0.75
467,0.65
468,0.75
469,0.7
470,0.65
471,0.7
472,0.65
473,0.8
474,0.85
475,0.65
476,0.6
477,0.8
478,0.7
479,0.6
480,0.7
481,0.7
482,0.65
483,0.75
484,0.65
485,0.8
486,0.75
487,0.8
488,0.65
489,0.7
490,0.75
491,0.65
492,0.7
493,0.65
494,0.7
495,0.8
496,0.7
497,0.7
498,0.65
499,0.65
500,0.7
501,0.7
502,0.6
503,0.75
504,0.65
505,0.65
506,0.7
507,0.6
508,0.8
509,0.8
510,0.6
511,0.7
512,0.7
513,0.75
514,0.8
515,0.8
516,0.7
517,0.7
518,0.75
519,0.7
520,0.75
521,0.65
522,0.7
523,0.5
524,0.65
525,0.8
526,0.75
527,0.65
528,0.7
529,0.75
530,0.55
531,0.75
532,0.85
533,0.65
534,0.7
535,0.65
536,0.6
537,0.7
538,0.7
539,0.7
540,0.85
541,0.55
542,0.7
543,0.75
544,0.65
545,0.75
546,0.7
547,0.7
548,0.7
549,0.8
550,0.65
551,0.85
552,0.8
553,0.7
554,0.65
555,0.65
556,0.6
557,0.75
558,0.6
559,0.75
560,0.65
561,0.75
562,0.7
563,0.6
564,0.75
565,0.7
566,0.75
567,0.75
568,0.7
569,0.65
570,0.65
571,0.75
572,0.75
573,0.65
574,0.5
575,0.65
576,0.7
577,0.55
578,0.75
579,0.7
580,0.8
581,0.8
582,0.75
583,0.65
584,0.65
585,0.75
586,0.75
587,0.75
588,0.75
589,0.75
590,0.7
591,0.5
592,0.7
593,0.75
594,0.8
595,0.8
596,0.65
597,0.65
598,0.8
599,0.7
600,0.9
601,0.7
602,0.7
603,0.8
604,0.7
605,0.8
606,0.75
607,0.8
608,0.55
609,0.8
610,0.7
611,0.8
612,0.6
613,0.9
614,0.75
615,0.75
616,0.8
617,0.8
618,0.85
619,0.65
620,0.7
621,0.85
622,0.85
623,0.8
624,0.8
625,0.8
626,0.8
627,0.7
628,0.75
629,0.9
630,0.75
631,0.85
632,0.75
633,0.7
634,0.85
635,0.85
636,0.75
637,0.85
638,0.7
639,0.75
640,0.75
641,0.75
642,0.65
643,0.85
644,0.6
645,0.65
646,0.65
647,0.8
648,0.55
649,0.8
650,0.9
651,0.65
652,0.7
653,0.65
654,0.85
655,0.75
656,0.7
657,0.6
658,0.65
659,0.75
660,0.85
661,0.8
662,0.75
663,0.75
664,0.75
665,0.7
666,0.65
667,0.8
668,0.75
669,0.5
670,0.6
671,0.75
672,0.75
673,0.75
674,0.75
675,0.7
676,0.7
677,0.95
678,0.65
679,0.65
680,0.65
681,0.7
682,0.55
683,0.85
684,0.7
685,0.9
686,0.8
687,0.85
688,0.6
689,0.6
690,0.8
691,0.7
692,0.75
693,0.85
694,0.65
695,0.8
696,0.75
697,0.6
698,0.55
699,0.7
700,0.6
701,0.8
702,0.5
703,0.8
704,0.6
705,0.85
706,0.8
707,0.6
708,0.55
709,0.75
710,0.7
711,0.6
712,0.85
713,0.55
714,0.7
715,0.55
716,0.8
717,0.55
718,0.6
719,0.55
720,0.65
721,0.85
722,0.6
723,0.65
724,0.6
725,0.6
726,0.55
727,0.85
728,0.6
729,0.7
730,0.45
731,0.7
732,0.7
733,0.9
734,0.55
