Step,TotalReward
1,0
2,0
3,1
4,0
5,1
6,2
7,2
8,3
9,2
10,1
11,1
12,2
13,1
14,2
15,4
16,1
17,3
18,0
19,2
20,2
21,0
22,1
23,2
24,2
25,1
26,1
27,1
28,0
29,1
30,2
31,2
32,3
33,2
34,2
35,1
36,1
37,2
38,1
39,2
40,3
41,1
42,0
43,3
44,2
45,2
46,0
47,1
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,0
56,2
57,1
58,3
59,1
60,0
61,1
62,0
63,1
64,2
65,2
66,2
67,2
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,3
79,1
80,2
81,2
82,1
83,2
84,1
85,1
86,2
87,2
88,1
89,2
90,2
91,1
92,1
93,3
94,1
95,2
96,1
97,1
98,3
99,1
100,1
101,3
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,1
112,1
113,2
114,3
115,0
116,0
117,2
118,3
119,3
120,1
121,0
122,1
123,3
124,2
125,0
126,2
127,2
128,2
129,0
130,2
131,1
132,2
133,3
134,3
135,2
136,2
137,0
138,2
139,1
140,2
141,2
142,2
143,1
144,2
145,1
146,1
147,2
148,2
149,1
150,1
151,2
152,0
153,1
154,1
155,1
156,1
157,1
158,2
159,0
160,1
161,3
162,3
163,1
164,2
165,2
166,3
167,1
168,2
169,2
170,2
171,3
172,2
173,1
174,1
175,0
176,1
177,2
178,2
179,3
180,2
181,2
182,2
183,3
184,2
185,0
186,2
187,1
188,3
189,2
190,2
191,2
192,1
193,3
194,1
195,2
196,1
197,2
198,2
199,2
200,2
201,3
202,2
203,2
204,3
205,1
206,2
207,2
208,2
209,2
210,2
211,3
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,1
221,3
222,1
223,1
224,3
225,1
226,2
227,1
228,2
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,2
238,0
239,1
240,1
241,1
242,2
243,0
244,1
245,1
246,0
247,1
248,1
249,3
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,2
260,1
261,1
262,1
263,1
264,2
265,2
266,1
267,0
268,1
269,2
270,2
271,3
272,0
273,0
274,2
275,1
276,1
277,1
278,0
279,2
