Step,SatisfactionRate
51,0.2333
52,0.3
53,0.3667
54,0.2667
55,0.1667
56,0.2667
57,0.3667
58,0.3667
59,0.3667
60,0.3333
61,0.2
62,0.2667
63,0.3333
64,0.3333
65,0.2667
66,0.3333
67,0.1667
68,0.2667
69,0.2667
70,0.2667
71,0.3667
72,0.3
73,0.2667
74,0.3
75,0.3
76,0.2667
77,0.3
78,0.3
79,0.3333
80,0.3333
81,0.3333
82,0.3333
83,0.3333
84,0.3
85,0.3
86,0.2667
87,0.2
88,0.3
89,0.2333
90,0.2
91,0.2333
92,0.2333
93,0.3333
94,0.2333
95,0.3
96,0.2333
97,0.1333
98,0.3333
99,0.2333
100,0.2333
101,0.3
102,0.3
103,0.2
104,0.1667
105,0.1667
106,0.2667
107,0.2333
108,0.2
109,0.2333
110,0.2667
111,0.2
112,0.3
113,0.2333
114,0.2333
115,0.1667
116,0.3333
117,0.3
118,0.2667
119,0.2667
120,0.2333
121,0.2333
122,0.3
123,0.2333
124,0.2333
125,0.3
126,0.3667
127,0.2333
128,0.2333
129,0.1667
130,0.2
131,0.2667
132,0.2333
133,0.3
134,0.3
135,0.2667
136,0.2667
137,0.3333
138,0.3667
139,0.3
140,0.3333
141,0.2333
142,0.3
143,0.2
144,0.2333
145,0.3
146,0.3
147,0.2667
148,0.2
149,0.3
150,0.3333
151,0.3333
152,0.2333
153,0.3333
154,0.3
155,0.3
156,0.2667
157,0.2333
158,0.2667
159,0.2
160,0.3
161,0.3333
162,0.2667
163,0.3333
164,0.2333
165,0.2
166,0.2667
167,0.2667
168,0.3333
169,0.2333
170,0.2667
171,0.3
172,0.3333
173,0.3333
174,0.2667
175,0.2667
176,0.3333
177,0.2667
178,0.3
179,0.3333
180,0.2667
181,0.2333
182,0.3667
183,0.3
184,0.3
185,0.2667
186,0.2333
187,0.2333
188,0.1667
189,0.2667
190,0.3333
191,0.2667
192,0.1
193,0.2667
194,0.3
195,0.3333
196,0.3
197,0.2
198,0.2667
199,0.3333
200,0.3
201,0.2333
202,0.3
203,0.3333
204,0.3333
205,0.2667
206,0.3
207,0.3
208,0.3333
209,0.3
210,0.2333
211,0.3
212,0.3333
213,0.3
214,0.3
215,0.3
216,0.2333
217,0.3333
218,0.3333
219,0.3333
220,0.2667
221,0.3333
222,0.2667
223,0.3333
224,0.3333
225,0.2
226,0.3333
227,0.3333
228,0.3
229,0.3
230,0.3333
231,0.3333
232,0.2667
233,0.2333
234,0.2667
235,0.2
236,0.3
237,0.3333
238,0.2667
239,0.3333
240,0.2
241,0.2667
242,0.2667
243,0.2333
244,0.2
245,0.2667
246,0.3333
247,0.2667
248,0.2667
249,0.3
250,0.2667
251,0.2667
252,0.3
253,0.3333
254,0.2333
255,0.3333
256,0.2667
257,0.2
258,0.3333
259,0.2333
260,0.2
261,0.3667
262,0.3
263,0.3333
264,0.2667
265,0.2
266,0.3
267,0.3
268,0.2667
269,0.3667
270,0.2667
271,0.3
272,0.1667
273,0.3333
274,0.3
275,0.2
276,0.3333
277,0.2333
278,0.2667
279,0.3
280,0.2667
281,0.3
282,0.3333
283,0.3
284,0.2667
285,0.3333
286,0.2
287,0.0667
288,0.2
289,0.3
290,0.3
291,0.2667
292,0.3667
293,0.2
294,0.2333
295,0.2667
296,0.3
297,0.2333
298,0.3
299,0.2667
300,0.2667
301,0.3667
302,0.3
303,0.3
304,0.2
305,0.3333
306,0.3333
307,0.3333
308,0.3
309,0.2333
310,0.2667
311,0.3
312,0.2667
313,0.2667
314,0.3
315,0.3333
316,0.2333
317,0.2
318,0.3333
319,0.2667
320,0.2667
321,0.3
322,0.2667
323,0.3333
324,0.2
325,0.3
326,0.3
327,0.2667
328,0.2667
329,0.2667
330,0.3333
331,0.3
332,0.2
333,0.2667
334,0.3333
335,0.3
336,0.3
337,0.2667
338,0.3333
339,0.2667
340,0.3333
341,0.3
342,0.2
343,0.2667
344,0.3
345,0.2667
346,0.2333
347,0.2333
348,0.3
349,0.3333
350,0.2
351,0.2333
352,0.3
353,0.3
354,0.3
355,0.3
356,0.2
357,0.3667
358,0.2667
359,0.2667
360,0.3
361,0.2333
362,0.3
363,0.1667
364,0.3333
365,0.3333
366,0.3
367,0.2333
368,0.1667
369,0.2667
370,0.2333
371,0.2
372,0.1667
373,0.2
374,0.2667
375,0.3
376,0.2333
377,0.2333
378,0.3
379,0.3
380,0.3333
381,0.3333
382,0.2333
383,0.2333
384,0.3
385,0.3667
386,0.2667
387,0.3333
388,0.2333
389,0.3667
390,0.3
391,0.2667
392,0.2
393,0.3333
394,0.2667
395,0.3
396,0.3667
397,0.3
398,0.2333
399,0.2667
400,0.2
401,0.1667
402,0.2333
403,0.3
404,0.2333
405,0.2667
406,0.1667
407,0.3
408,0.2667
409,0.2667
410,0.3333
411,0.1333
412,0.2333
413,0.3333
414,0.3
415,0.3333
416,0.2667
417,0.3333
418,0.2333
419,0.3333
420,0.2
421,0.3333
422,0.3667
423,0.2333
424,0.3
425,0.3333
426,0.3667
427,0.2333
428,0.3
429,0.1667
430,0.2333
431,0.2333
432,0.3
433,0.2333
434,0.3333
435,0.3
436,0.2333
437,0.2333
438,0.1667
439,0.2667
440,0.3
441,0.2667
442,0.2
443,0.3
444,0.3333
445,0.3
446,0.1667
447,0.3667
448,0.2333
449,0.2333
450,0.1667
451,0.3
452,0.1667
453,0.2
454,0.2
455,0.2
456,0.2667
457,0.3
458,0.2667
459,0.1667
460,0.2
461,0.2333
462,0.2667
463,0.2667
464,0.3
465,0.2333
466,0.3
467,0.2333
468,0.2333
469,0.2333
470,0.2667
471,0.2
472,0.3333
473,0.2333
474,0.2333
475,0.2667
476,0.2
477,0.2333
478,0.2333
479,0.2333
480,0.2333
481,0.2667
482,0.2
483,0.3333
484,0.2667
485,0.3
486,0.2667
487,0.2
488,0.2333
489,0.2333
490,0.2333
491,0.2
492,0.1333
493,0.2333
494,0.2
495,0.2667
496,0.2667
497,0.2667
498,0.2333
499,0.3
500,0.2667
501,0.1667
502,0.1667
503,0.3
504,0.1333
505,0.2667
506,0.2667
507,0.3
508,0.1667
509,0.3333
510,0.1667
511,0.3
512,0.2333
513,0.3
514,0.2333
515,0.2
516,0.2667
517,0.2333
518,0.2333
519,0.2667
520,0.3
521,0.3
522,0.2333
523,0.2667
524,0.3
525,0.2333
526,0.2
527,0.2333
528,0.3
529,0.3
530,0.3333
531,0.3
532,0.2333
533,0.2333
534,0.2333
535,0.2333
536,0.3
537,0.2333
538,0.2333
539,0.2
540,0.2333
541,0.2
542,0.2333
543,0.2667
544,0.2333
545,0.3
546,0.3
547,0.3
548,0.2333
549,0.2667
550,0.2667
551,0.3
552,0.3
553,0.2333
554,0.2333
555,0.2667
556,0.3333
557,0.3
558,0.2333
559,0.2
560,0.2
561,0.2333
562,0.2333
563,0.2333
564,0.2333
565,0.2667
566,0.2
567,0.2667
568,0.2333
569,0.3
570,0.3
571,0.3333
572,0.2333
573,0.2667
574,0.2333
575,0.2333
576,0.3
577,0.2333
578,0.3
579,0.2
580,0.2
581,0.2667
582,0.3
583,0.3333
584,0.2667
585,0.2333
586,0.3333
587,0.3
588,0.2667
589,0.3333
590,0.2667
591,0.2333
592,0.2333
593,0.2333
594,0.3333
595,0.2333
596,0.2667
597,0.3
598,0.2333
599,0.2333
600,0.2333
601,0.2667
602,0.2333
603,0.3333
604,0.2667
605,0.2333
606,0.2667
607,0.2
608,0.3
609,0.2667
610,0.2
611,0.3333
612,0.3
613,0.2333
614,0.2333
615,0.2333
616,0.2333
617,0.3333
618,0.2667
619,0.2667
620,0.3333
621,0.3
622,0.3333
623,0.1667
624,0.3
625,0.2333
626,0.2667
627,0.2333
628,0.2333
629,0.3333
630,0.2333
631,0.2667
632,0.3
633,0.2333
634,0.2667
635,0.2667
636,0.3333
637,0.3
638,0.2333
639,0.3
640,0.3
641,0.2333
642,0.2333
643,0.2667
644,0.2333
645,0.3333
646,0.2333
647,0.2333
648,0.2333
649,0.2
650,0.2333
651,0.2
652,0.2667
653,0.2667
654,0.2333
655,0.2667
656,0.2667
657,0.2333
658,0.1333
659,0.2667
660,0.2
661,0.2667
662,0.2333
663,0.2333
664,0.2667
665,0.2333
666,0.3
667,0.2333
668,0.1667
669,0.2333
670,0.1333
671,0.3
672,0.2
673,0.1667
674,0.2333
675,0.3333
676,0.2667
677,0.2333
678,0.2667
679,0.2
680,0.2
