Step,SatisfactionRate
51,0.5333
52,0.6
53,0.6667
54,0.5667
55,0.4667
56,0.5667
57,0.6667
58,0.6667
59,0.6667
60,0.6333
61,0.5
62,0.5667
63,0.6333
64,0.6333
65,0.5667
66,0.6333
67,0.4667
68,0.5667
69,0.5667
70,0.5667
71,0.6667
72,0.6
73,0.5667
74,0.6
75,0.6
76,0.5667
77,0.6
78,0.6
79,0.6333
80,0.6333
81,0.6333
82,0.6333
83,0.6333
84,0.6
85,0.6
86,0.5667
87,0.5
88,0.6
89,0.5333
90,0.5
91,0.5333
92,0.5333
93,0.6333
94,0.5333
95,0.6
96,0.5333
97,0.4333
98,0.6333
99,0.5333
100,0.5333
101,0.6
102,0.6
103,0.5
104,0.4667
105,0.4667
106,0.5667
107,0.5333
108,0.5
109,0.5333
110,0.5667
111,0.5
112,0.6
113,0.5333
114,0.5333
115,0.4667
116,0.6333
117,0.6
118,0.5667
119,0.5667
120,0.5333
121,0.5333
122,0.6
123,0.5333
124,0.5333
125,0.6
126,0.6667
127,0.5333
128,0.5333
129,0.4667
130,0.5
131,0.5667
132,0.5333
133,0.6
134,0.6
135,0.5667
136,0.5667
137,0.6333
138,0.6667
139,0.6
140,0.6333
141,0.5333
142,0.6
143,0.5
144,0.5333
145,0.6
146,0.6
147,0.5667
148,0.5
149,0.6
150,0.6333
151,0.6333
152,0.5333
153,0.6333
154,0.6
155,0.6
156,0.5667
157,0.5333
158,0.5667
159,0.5
160,0.6
161,0.6333
162,0.5667
163,0.6333
164,0.5333
165,0.5
166,0.5667
167,0.5667
168,0.6333
169,0.5333
170,0.5667
171,0.6
172,0.6333
173,0.6333
174,0.5667
175,0.5667
176,0.6333
177,0.5667
178,0.6
179,0.6333
180,0.5667
181,0.5333
182,0.6667
183,0.6
184,0.6
185,0.5667
186,0.5333
187,0.5333
188,0.4667
189,0.5667
190,0.6333
191,0.5667
192,0.4
193,0.5667
194,0.6
195,0.6333
196,0.6
197,0.5
198,0.5667
199,0.6333
200,0.6
201,0.5333
202,0.6
203,0.6333
204,0.6333
205,0.5667
206,0.6
207,0.6
208,0.6333
209,0.6
210,0.5333
211,0.6
212,0.6333
213,0.6
214,0.6
215,0.6
216,0.5333
217,0.6333
218,0.6333
219,0.6333
220,0.5667
221,0.6333
222,0.5667
223,0.6333
224,0.6333
225,0.5
226,0.6333
227,0.6333
228,0.6
229,0.6
230,0.6333
231,0.6333
232,0.5667
233,0.5333
234,0.5667
235,0.5
236,0.6
237,0.6333
238,0.5667
239,0.6333
240,0.5
241,0.5667
242,0.5667
243,0.5333
244,0.5
245,0.5667
246,0.6333
247,0.5667
248,0.5667
249,0.6
250,0.5667
251,0.5667
252,0.6
253,0.6333
254,0.5333
255,0.6333
256,0.5667
257,0.5
258,0.6333
259,0.5333
260,0.5
261,0.6667
262,0.6
263,0.6333
264,0.5667
265,0.5
266,0.6
267,0.6
268,0.5667
269,0.6667
270,0.5667
271,0.6
272,0.4667
273,0.6333
274,0.6
275,0.5
276,0.6333
277,0.5
278,0.5667
279,0.6
280,0.5667
281,0.6
282,0.6333
283,0.6
284,0.5667
285,0.6333
286,0.5
287,0.3667
288,0.5
289,0.6
290,0.6
291,0.5667
292,0.6667
293,0.5
294,0.5333
295,0.5667
296,0.6
297,0.5333
298,0.6
299,0.5667
300,0.5667
301,0.6667
302,0.6
303,0.6
304,0.5
305,0.6
306,0.6333
307,0.6333
308,0.6
309,0.5333
310,0.5667
311,0.6
312,0.5667
313,0.5667
314,0.6
315,0.6333
316,0.5333
317,0.5
318,0.6333
319,0.5667
320,0.5667
321,0.6
322,0.5667
323,0.6333
324,0.5
325,0.6
326,0.6
327,0.5667
328,0.5667
329,0.5667
330,0.6333
331,0.6
332,0.5
333,0.5667
334,0.6333
335,0.6
336,0.6
337,0.5667
338,0.6333
339,0.5667
340,0.6333
341,0.6
342,0.5
343,0.5667
344,0.6
345,0.5667
346,0.5333
347,0.5333
348,0.6
349,0.6333
350,0.5
351,0.5333
352,0.6
353,0.6
354,0.6
355,0.6
356,0.5
357,0.6667
358,0.5667
359,0.5667
360,0.6
361,0.5333
362,0.6
363,0.4667
364,0.6333
365,0.6333
366,0.6
367,0.5333
368,0.4667
369,0.5667
370,0.5333
371,0.5
372,0.4667
373,0.5
374,0.5667
375,0.6
376,0.5333
377,0.5333
378,0.6
379,0.6
380,0.6333
381,0.6333
382,0.5333
383,0.5333
384,0.6
385,0.6667
386,0.5667
387,0.6333
388,0.5333
389,0.6667
390,0.6
391,0.5667
392,0.5
393,0.6333
394,0.5667
395,0.6
396,0.6667
397,0.6
398,0.5333
399,0.5667
400,0.5
401,0.4667
402,0.5333
403,0.6
404,0.5333
405,0.5667
406,0.4667
407,0.6
408,0.5667
409,0.5667
410,0.6333
411,0.4333
412,0.5333
413,0.6333
414,0.6
415,0.6333
416,0.5667
417,0.6333
418,0.5333
419,0.6333
420,0.5
421,0.6333
422,0.6667
423,0.5333
424,0.6
425,0.6333
426,0.6667
427,0.5333
428,0.6
429,0.4667
430,0.5333
431,0.5333
432,0.6
433,0.5333
434,0.6333
435,0.6
436,0.5333
437,0.5333
438,0.4333
439,0.5667
440,0.6
441,0.5667
442,0.5
443,0.6
444,0.6333
445,0.6
446,0.4667
447,0.6667
448,0.5333
449,0.5333
450,0.4667
451,0.6
452,0.4667
453,0.5
454,0.5
455,0.5
456,0.5667
457,0.6
458,0.5667
459,0.4667
460,0.5
461,0.5333
462,0.5667
463,0.5667
464,0.6
465,0.5333
466,0.6
467,0.5333
468,0.5333
469,0.5333
470,0.5667
471,0.5
472,0.6333
473,0.5333
474,0.5333
475,0.5667
476,0.5
477,0.5333
478,0.5333
479,0.5333
480,0.5333
481,0.5667
482,0.5
483,0.6333
484,0.5667
485,0.6
486,0.5667
487,0.5
488,0.5333
489,0.5333
490,0.5333
491,0.5
492,0.4333
493,0.5333
494,0.5
495,0.5667
496,0.5667
497,0.5667
498,0.5333
499,0.6
500,0.5667
501,0.4667
502,0.4667
503,0.6
504,0.4333
505,0.5667
506,0.5667
507,0.6
508,0.4667
509,0.6333
510,0.4333
511,0.6
512,0.5333
513,0.6
514,0.5333
515,0.4667
516,0.5667
517,0.5333
518,0.5333
519,0.5667
520,0.6
521,0.6
522,0.5333
523,0.5667
524,0.6
525,0.5333
526,0.5
527,0.5333
528,0.6
529,0.6
530,0.6333
531,0.6
532,0.5333
533,0.5333
534,0.5333
535,0.5333
536,0.6
537,0.5333
538,0.5333
539,0.5
540,0.5333
541,0.5
542,0.5333
543,0.5667
544,0.5333
545,0.6
546,0.6
547,0.6
548,0.5333
549,0.5667
550,0.5667
551,0.6
552,0.6
553,0.5333
554,0.5667
555,0.5667
556,0.6333
557,0.6
558,0.5333
559,0.5
560,0.5
561,0.5333
562,0.5333
563,0.5333
564,0.5333
565,0.5667
566,0.5
567,0.5667
568,0.5333
569,0.6
570,0.6
571,0.6333
572,0.5333
573,0.5667
574,0.5333
575,0.5333
576,0.6
577,0.5333
578,0.6
579,0.5
580,0.5
581,0.5667
582,0.6
583,0.6333
584,0.5667
585,0.5333
586,0.6333
587,0.6
588,0.5667
589,0.6333
590,0.5667
591,0.5333
592,0.5333
593,0.5333
594,0.6333
595,0.5333
596,0.5667
597,0.6
598,0.5333
599,0.5333
600,0.5333
601,0.5667
602,0.5333
603,0.6333
604,0.5667
605,0.5333
606,0.5667
607,0.5
608,0.6
609,0.5667
610,0.5
611,0.6333
612,0.6
613,0.5333
614,0.5333
615,0.5333
616,0.5333
617,0.6333
618,0.5667
619,0.5667
620,0.6333
621,0.6
622,0.6333
623,0.4667
624,0.6
625,0.5333
626,0.5667
627,0.5333
628,0.5333
629,0.6333
630,0.5333
631,0.5667
632,0.6
633,0.5333
634,0.5667
635,0.5667
636,0.6333
637,0.6
638,0.5333
639,0.6
640,0.6
641,0.5333
642,0.5333
643,0.5667
644,0.5333
645,0.6333
646,0.5333
647,0.5333
648,0.5333
649,0.5
650,0.5333
651,0.5
652,0.5667
653,0.5667
654,0.5333
655,0.5667
656,0.5667
657,0.5333
658,0.4333
659,0.5667
660,0.5
661,0.5667
662,0.5333
663,0.5333
664,0.5667
665,0.5333
666,0.6
667,0.5333
668,0.4667
669,0.5333
670,0.4333
671,0.6
672,0.5
673,0.4667
674,0.5333
675,0.6333
676,0.5667
677,0.5333
678,0.5667
679,0.5
680,0.5
681,0.5
682,0.5333
683,0.5333
684,0.6333
685,0.5
686,0.5667
687,0.4667
688,0.6667
689,0.6333
690,0.5333
691,0.5333
692,0.6333
693,0.5667
694,0.5333
695,0.5
696,0.4333
697,0.5333
698,0.5333
699,0.5333
700,0.4667
701,0.5333
702,0.5333
703,0.5333
704,0.5667
705,0.6
706,0.4333
707,0.5333
708,0.5
709,0.5333
710,0.5333
711,0.5667
712,0.5333
713,0.5333
714,0.5333
715,0.5
716,0.5667
717,0.6333
718,0.6333
719,0.5333
720,0.6333
721,0.6333
722,0.6333
723,0.6
724,0.6333
725,0.5333
726,0.5
727,0.6333
728,0.5667
729,0.6333
730,0.5333
731,0.5667
732,0.6
733,0.6
734,0.6
735,0.5333
736,0.6667
737,0.6333
738,0.6
739,0.6667
740,0.6
741,0.6333
