Step,TotalReward
1,0
2,2
3,1
4,3
5,3
6,2
7,4
8,4
9,3
10,1
11,1
12,1
13,2
14,0
15,3
16,2
17,4
18,2
19,3
20,1
21,2
22,0
23,5
24,2
25,2
26,2
27,1
28,2
29,2
30,3
31,3
32,2
33,3
34,2
35,2
36,3
37,2
38,2
39,3
40,2
41,4
42,3
43,2
44,2
45,2
46,2
47,2
48,2
49,4
50,2
51,1
52,2
53,5
54,1
55,3
56,3
57,2
58,1
59,2
60,2
61,3
62,3
63,1
64,4
65,2
66,3
67,1
68,2
69,4
70,1
71,2
72,2
73,3
74,2
75,2
76,4
77,4
78,2
79,5
80,1
81,4
82,4
83,2
84,2
85,3
86,2
87,2
88,1
89,2
90,3
91,1
92,2
93,2
94,2
95,4
96,3
97,3
98,1
99,2
100,5
101,2
102,3
103,4
104,1
105,2
106,2
107,3
108,2
109,2
110,3
111,1
112,1
113,2
114,3
115,2
116,2
117,3
118,0
119,2
120,3
121,3
122,4
123,3
124,4
125,3
126,1
127,3
128,3
129,2
130,2
131,4
132,2
133,2
134,2
135,3
136,4
137,2
138,2
139,4
140,1
141,1
142,3
143,3
144,4
145,2
146,3
147,4
148,2
149,2
150,3
151,2
152,3
153,2
154,3
155,2
156,2
157,3
158,2
159,3
160,2
161,1
162,3
163,1
164,4
165,2
166,3
167,4
168,1
169,2
170,2
171,3
172,2
173,2
174,1
175,3
176,3
177,3
178,2
179,4
180,2
181,5
182,1
183,3
184,2
185,5
186,3
187,2
188,1
189,3
190,1
191,1
192,3
193,4
194,2
195,3
196,4
197,3
198,2
199,0
200,3
201,1
202,3
203,3
204,3
205,0
206,2
207,2
208,2
209,2
210,2
211,3
212,3
213,1
214,3
215,2
216,2
217,2
218,1
219,2
220,2
221,3
222,2
223,1
224,1
225,2
226,2
227,3
228,1
229,1
230,1
231,1
232,2
233,4
234,2
235,1
236,2
237,2
238,3
239,1
240,2
241,2
242,3
243,2
244,1
245,3
246,1
247,3
248,2
249,5
250,0
251,3
252,1
253,1
254,2
255,2
256,3
257,1
258,3
259,3
260,2
261,3
262,1
263,2
264,3
265,2
266,1
267,2
268,2
269,2
270,1
271,0
272,2
273,2
274,1
275,2
276,1
277,1
278,2
279,2
280,0
281,1
282,2
283,1
284,1
285,3
286,1
287,2
288,3
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,0
297,1
298,1
299,1
300,1
301,3
302,2
303,2
304,2
305,2
306,3
307,2
308,2
309,1
310,3
311,2
312,2
313,1
314,1
315,1
316,0
317,2
318,2
319,1
320,2
321,3
322,0
323,2
324,1
325,2
326,4
327,3
328,3
329,2
330,2
331,0
332,2
333,3
334,1
335,1
336,1
337,2
338,0
339,1
340,1
341,2
342,0
343,2
344,1
345,1
346,2
347,2
348,2
349,2
350,2
351,1
352,3
353,3
354,2
355,3
356,3
357,2
358,2
359,2
360,2
361,2
362,2
363,3
364,1
365,2
366,2
367,2
368,0
369,3
370,1
371,1
372,2
373,2
374,1
375,2
376,1
377,2
378,1
379,2
380,1
381,3
382,0
383,0
384,2
385,3
386,1
387,1
388,1
389,2
390,2
391,2
392,3
393,2
394,1
395,2
396,1
397,0
398,2
399,2
400,2
401,1
402,1
403,2
404,1
405,1
406,2
407,2
408,1
409,2
410,2
411,2
412,0
413,2
414,1
415,1
416,1
417,1
418,2
419,1
420,1
421,3
422,2
423,2
424,3
425,3
426,0
427,2
428,1
429,2
430,2
431,2
432,0
433,1
434,1
435,3
436,2
437,1
438,1
439,3
440,2
441,1
442,1
443,0
444,2
445,2
446,2
447,0
448,0
449,1
450,1
451,2
452,3
453,1
454,2
455,1
456,2
457,1
458,2
459,1
460,2
461,2
462,1
463,2
464,1
465,1
466,1
467,2
468,4
469,2
470,1
471,1
472,1
473,1
474,1
475,2
476,1
477,3
478,0
479,1
480,3
481,1
482,1
483,2
484,1
485,3
486,3
487,3
488,1
489,1
490,2
491,1
492,1
493,1
494,3
495,0
496,1
497,1
498,1
499,2
500,2
501,1
502,2
503,2
504,1
505,1
506,2
507,2
508,2
509,1
510,1
511,2
512,2
513,2
514,2
515,1
516,3
517,2
518,1
519,2
520,1
521,1
522,2
523,1
524,2
525,1
526,1
527,1
528,1
529,1
530,2
531,2
532,1
533,0
534,2
535,1
536,0
537,1
538,2
539,0
540,1
541,1
542,1
543,1
544,1
545,2
546,2
547,2
548,1
549,2
550,1
551,1
552,2
553,2
554,1
555,2
556,0
557,3
558,1
559,0
560,2
561,2
562,1
563,1
564,2
565,2
566,3
567,1
568,1
569,2
570,2
571,2
572,0
573,2
574,2
575,1
576,2
577,2
578,0
579,1
580,0
581,1
582,2
583,1
584,1
585,0
586,2
587,1
588,2
589,1
590,2
591,2
592,2
593,2
594,1
595,3
596,2
597,3
598,2
599,4
600,3
601,1
602,2
603,2
604,0
605,2
606,0
607,3
608,2
609,4
610,2
611,1
612,4
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,4
621,2
622,2
623,3
624,2
625,3
626,2
627,2
628,3
629,3
630,3
631,1
632,1
633,2
634,3
635,2
636,1
637,1
638,3
639,3
640,3
641,2
642,2
643,2
644,3
645,5
646,1
647,2
648,4
649,1
650,3
651,2
652,3
653,2
654,2
655,1
656,2
657,2
658,2
659,2
660,2
661,2
662,3
663,1
664,3
665,0
666,3
667,1
668,3
669,2
670,5
671,3
672,2
673,4
674,1
675,3
676,5
677,5
678,4
679,2
680,1
681,2
682,3
683,4
684,5
685,3
686,3
687,3
688,3
689,3
690,2
691,3
692,3
693,3
694,2
695,0
696,4
697,3
698,3
699,5
700,2
701,4
702,1
703,2
704,3
705,1
706,2
707,3
708,1
709,3
710,2
711,3
712,4
713,1
714,3
715,3
716,3
717,5
718,1
719,1
720,2
721,1
722,3
723,1
724,4
725,3
726,2
727,1
728,2
729,2
730,2
731,3
732,3
733,3
734,5
735,3
736,3
737,2
738,3
739,4
740,1
741,3
742,2
743,3
744,1
745,1
746,2
747,1
748,4
749,2
750,1
751,3
752,2
753,2
754,0
755,1
756,3
757,3
758,1
759,2
760,1
761,2
762,2
763,2
764,2
765,1
766,3
767,2
768,2
769,2
770,4
771,1
772,2
773,3
774,3
775,1
776,2
777,0
778,2
779,1
780,3
781,1
782,1
783,2
784,2
785,1
786,1
787,1
788,3
789,3
790,2
791,1
792,1
793,3
794,2
795,1
796,1
797,2
798,2
799,1
800,2
801,2
802,1
803,3
804,3
805,0
806,1
807,3
808,1
809,1
810,1
811,3
812,4
813,2
814,2
815,1
816,4
817,2
818,2
819,3
820,2
821,3
822,3
823,1
824,1
825,4
826,3
827,2
828,2
829,1
830,2
831,1
832,4
833,3
834,1
835,3
836,2
837,2
838,3
839,3
840,2
841,2
842,3
843,3
844,2
845,3
846,2
847,3
848,1
849,1
850,3
851,3
852,2
853,2
854,3
855,3
856,1
857,2
858,4
859,4
860,3
861,3
862,2
863,2
864,3
865,2
866,2
867,2
868,3
869,3
870,1
871,2
872,3
873,3
874,3
875,3
876,6
877,2
878,2
879,3
880,1
881,3
882,4
883,2
884,3
885,2
886,3
887,5
888,3
889,2
890,2
891,2
892,2
893,2
894,3
895,2
896,2
897,2
898,3
899,2
900,3
901,1
902,2
903,2
904,3
905,3
906,3
907,4
908,4
909,2
910,0
911,2
912,4
913,2
914,4
915,3
916,2
917,4
918,3
919,3
920,3
921,4
922,3
923,2
924,3
925,3
926,2
927,3
928,2
929,3
930,2
931,0
932,3
933,2
934,4
935,3
936,3
937,2
938,2
939,1
940,3
941,2
942,2
943,3
944,2
945,2
946,5
947,1
948,3
949,2
950,2
951,2
952,2
953,2
954,2
955,4
956,3
957,2
958,2
959,3
960,3
961,2
962,1
963,2
964,2
965,2
966,2
967,2
968,2
969,3
970,2
971,3
972,3
973,4
974,2
975,1
976,4
977,2
978,3
979,4
980,2
981,3
982,2
983,4
984,3
985,3
986,2
987,4
988,3
989,3
990,4
991,4
992,2
993,4
994,0
995,2
996,2
997,2
998,4
999,3
1000,4
