condition,strategy,mean_global,mean_arvr,mean_streaming,mean_best_effort,ci95_global
fcfs,rl,0.3981225,0.28362422,0.39351926666666665,0.9959144466666665,0.012549500609926196
fcfs,no_cr,0.09736,0.0,0.00106952,0.9942395800000001,0.014077465397316082
fcfs,random,0.4019525,0.28914063999999995,0.39885544000000006,0.9950483200000001,0.01237207633042205
fcfs,static,0.4084200000000001,0.30459655999999996,0.39329788000000004,0.9942395800000001,0.01124537532209294
fcfs,exhaustive_greedy,0.482235,0.34105277999999994,0.53374008,0.9942395800000001,0.011394893954472947
priority,rl,0.3589041666666667,0.33487758666666656,0.23475737999999996,0.9972903866666666,0.01528598426085476
priority,no_cr,0.09777500000000001,0.0,0.00118256,0.9979343400000001,0.014129077879174898
priority,random,0.36102500000000004,0.3399452,0.2342673,0.9972925799999999,0.014275718793222212
priority,static,0.38587,0.37893344000000007,0.24657624,0.9979343400000001,0.01246615308273187
priority,exhaustive_greedy,0.43613749999999996,0.41788724000000005,0.3246934,0.9979343400000001,0.01612955509281348
